model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
CLIP,BRACS,0.01,36,42,0.6766619789669829,0.07466307277628033,0.09473501209886369,0.12555303378874874
CLIP,BRACS,0.01,36,123,0.6771090890874655,0.13827727645611157,0.0888962029588202,0.12423725479980664
CLIP,BRACS,0.01,36,456,0.7289759247607519,0.03477878054149241,0.13264859968553624,0.1257138623883861
CLIP,BRACS,0.05,182,42,0.7447519890511629,0.2601932974313591,0.110117848406143,0.11759679719937448
CLIP,BRACS,0.05,182,123,0.7448377180674312,0.19480034843875801,0.11866832060621323,0.11683688404713923
CLIP,BRACS,0.05,182,456,0.759964706683327,0.32271239138230634,0.1821877739917614,0.11537188562650828
CLIP,BRACS,0.1,365,42,0.7690668287939505,0.3384600685108571,0.14531800895613062,0.11233303028064358
CLIP,BRACS,0.1,365,123,0.75711280071455,0.2641342342172931,0.09627043320778778,0.11251148883723473
CLIP,BRACS,0.1,365,456,0.7640560594889708,0.2996972748424187,0.1148508177468497,0.11140823941128382
CLIP,BRACS,0.25,914,42,0.7781539244715762,0.357991447141542,0.13312964019245327,0.10469014906715193
CLIP,BRACS,0.25,914,123,0.7783747956174212,0.3055836413929052,0.09513036670780044,0.10622286490662709
CLIP,BRACS,0.25,914,456,0.7890764235885558,0.3608354344601611,0.12906922520276537,0.10427648169683743
CLIP,BRACS,0.5,1828,42,0.7960924332692271,0.38592273572094354,0.10691928796695739,0.09978743503233256
CLIP,BRACS,0.5,1828,123,0.7973124413842237,0.3863775500784784,0.105113931272766,0.09965628008153896
CLIP,BRACS,0.5,1828,456,0.7949594139047415,0.38888478912891405,0.10189331208200839,0.09961737601823382
CLIP,BRACS,1.0,3657,42,0.8137754803415936,0.4334848518095503,0.08708370477951889,0.09505534757939646
CLIP,BRACS,1.0,3657,123,0.8137754803415936,0.4334848518095503,0.08708370477928769,0.09505534757939205
CLIP,BRACS,1.0,3657,456,0.8137754803415936,0.4334848518095503,0.0870837047791404,0.09505534757942302
