model,dataset,fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement,auroc,brier_raw,brier_scaled
CLIP,BRACS,0.01,42,6.4218004984682,0.09473501209886369,0.00218882631857803,0.09254618578028566,0.6766619789669829,0.12555303378874874,0.12232850068150534
CLIP,BRACS,0.01,123,4.540752069500637,0.0888962029588202,0.0737491210608893,0.015147081897930903,0.6771090890874655,0.12423725479980664,0.12211674849666086
CLIP,BRACS,0.01,456,9.999995701542453,0.13264859968553624,0.0151399459565906,0.11750865372894564,0.7289759247607519,0.1257138623883861,0.12238983990103748
CLIP,BRACS,0.05,42,0.6704792587638143,0.110117848406143,0.07443960080421923,0.03567824760192377,0.7447519890511629,0.11759679719937448,0.11647459692278317
CLIP,BRACS,0.05,123,1.1798280649916262,0.11866832060621323,0.10875381263872143,0.009914507967491798,0.7448377180674312,0.11683688404713923,0.11733769193062518
CLIP,BRACS,0.05,456,0.3538161964222255,0.1821877739917614,0.06606108118367922,0.11612669280808217,0.759964706683327,0.11537188562650828,0.10718289828557993
CLIP,BRACS,0.1,42,0.7231905461059488,0.14531800895613062,0.09470931507710682,0.050608693879023794,0.7690668287939505,0.11233303028064358,0.11008689473122704
CLIP,BRACS,0.1,123,0.88185526570992,0.09627043320778778,0.08371908667457045,0.012551346533217322,0.75711280071455,0.11251148883723473,0.11188528508593253
CLIP,BRACS,0.1,456,0.5053982782480807,0.1148508177468497,0.061802744673422186,0.053048073073427515,0.7640560594889708,0.11140823941128382,0.1067219827707645
CLIP,BRACS,0.25,42,0.6124010555379839,0.13312964019245327,0.05875954914214669,0.07437009105030658,0.7781539244715762,0.10469014906715193,0.10076352453019648
CLIP,BRACS,0.25,123,0.7958492883711404,0.09513036670780044,0.06589445777427219,0.029235908933528246,0.7783747956174212,0.10622286490662709,0.1049591293091748
CLIP,BRACS,0.25,456,0.6173957078750113,0.12906922520276537,0.047411203055717194,0.08165802214704818,0.7890764235885558,0.10427648169683743,0.10041608478776874
CLIP,BRACS,0.5,42,0.6714914585906383,0.10691928796695739,0.06128164294757585,0.04563764501938154,0.7960924332692271,0.09978743503233256,0.09720232531048713
CLIP,BRACS,0.5,123,0.6936636298196489,0.105113931272766,0.041740601452489846,0.06337332982027616,0.7973124413842237,0.09965628008153896,0.09735237656306463
CLIP,BRACS,0.5,456,0.6948213227891528,0.10189331208200839,0.05425400613595346,0.04763930594605493,0.7949594139047415,0.09961737601823382,0.09712506800394775
CLIP,BRACS,1.0,42,0.7424876989204197,0.08708370477951889,0.017965530220904642,0.06911817455861424,0.8137754803415936,0.09505534757939646,0.09355574147086289
CLIP,BRACS,1.0,123,0.7424876989217906,0.08708370477928769,0.01796553022091869,0.069118174558369,0.8137754803415936,0.09505534757939205,0.09355574147087056
CLIP,BRACS,1.0,456,0.7424876989228827,0.0870837047791404,0.01796553022105076,0.06911817455808963,0.8137754803415936,0.09505534757942302,0.0935557414709155
