model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
CLIP,CRC,0.01,700,42,0.9774943840978069,0.7789408510110611,0.33980112547148167,0.050383028939711555
CLIP,CRC,0.01,700,123,0.9761106711153956,0.803544849473531,0.3608643172052995,0.050372775860171824
CLIP,CRC,0.01,700,456,0.9776932437983474,0.8255604560695031,0.38391462474235205,0.04987356047057504
CLIP,CRC,0.05,3500,42,0.9897452065706082,0.8815219068569604,0.22923148015269812,0.027935089271470703
CLIP,CRC,0.05,3500,123,0.9891443032758408,0.8798100752892267,0.2293226624461379,0.02819371182637425
CLIP,CRC,0.05,3500,456,0.9897437550481468,0.8815998646056419,0.23003759055398748,0.02789405944686442
CLIP,CRC,0.1,7000,42,0.9926487395116074,0.9003328585187198,0.1733683931665433,0.021599884367162106
CLIP,CRC,0.1,7000,123,0.9924368837300612,0.8980981033622406,0.17403403110349341,0.021818656838001722
CLIP,CRC,0.1,7000,456,0.9927544334746027,0.90053391222634,0.175951387086194,0.021590693861612827
CLIP,CRC,0.25,17500,42,0.9953034547552675,0.9234536096521756,0.12218152801149919,0.015565692573908428
CLIP,CRC,0.25,17500,123,0.9953181847015533,0.924437753418384,0.12387835653845225,0.015593938006686023
CLIP,CRC,0.25,17500,456,0.9954380407206753,0.9255220293992511,0.12464416247273148,0.015477264485558072
CLIP,CRC,0.5,35000,42,0.9966724299124472,0.9384470201881236,0.09387331508695747,0.012303896928290007
CLIP,CRC,0.5,35000,123,0.9966347789372123,0.9383307451176466,0.09377684287250719,0.012358726234634965
CLIP,CRC,0.5,35000,456,0.9967224907427378,0.9391405659694043,0.095022228906689,0.012274771287514925
CLIP,CRC,1.0,70000,42,0.9976302695873039,0.9504771855410671,0.07187058937903358,0.00980781935501598
CLIP,CRC,1.0,70000,123,0.9976337335241363,0.9504009415178383,0.07181630064835941,0.009803444607715702
CLIP,CRC,1.0,70000,456,0.9976336347973819,0.9504009415178383,0.07181607108253485,0.009803659373908273
