model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
CLIP,LungHist700,0.01,7,42,0.5742367982617195,0.1780251935579278,0.06363767154867586,0.12229060303581966
CLIP,LungHist700,0.01,7,123,0.6247345785743009,0.24756288429318365,0.11993641902573897,0.1221672965949875
CLIP,LungHist700,0.01,7,456,0.7062655544447408,0.30879256211768524,0.2526510952085641,0.12182840603389747
CLIP,LungHist700,0.05,24,42,0.655095458548421,0.045714285714285714,0.06359135202646862,0.12706951142136766
CLIP,LungHist700,0.05,24,123,0.7434227248605837,0.045714285714285714,0.12789010233863451,0.12253221436997566
CLIP,LungHist700,0.05,24,456,0.7465770785106542,0.12278126990280509,0.11853316439244829,0.12458777786326573
CLIP,LungHist700,0.1,48,42,0.7239818682811098,0.045714285714285714,0.17555164575367674,0.12374201619104305
CLIP,LungHist700,0.1,48,123,0.720318024043447,0.045714285714285714,0.13267613729749048,0.12259672705577564
CLIP,LungHist700,0.1,48,456,0.7894603608909956,0.04561824729891956,0.16978352497953358,0.12270892007628767
CLIP,LungHist700,0.25,120,42,0.7826803237082599,0.045714285714285714,0.1599814224237959,0.12123172658721108
CLIP,LungHist700,0.25,120,123,0.8256864268872436,0.14197296955917646,0.049609085553763234,0.11911585846763299
CLIP,LungHist700,0.25,120,456,0.8159303991373629,0.045714285714285714,0.12182494792831286,0.11978681903549128
CLIP,LungHist700,0.5,241,42,0.8064120611122558,0.1363248663379725,0.10930376217327087,0.1170918479819183
CLIP,LungHist700,0.5,241,123,0.8412662196944677,0.20839202937812296,0.03788612531905731,0.11492940872159567
CLIP,LungHist700,0.5,241,456,0.8312981524056485,0.11459180257305467,0.06613146604197788,0.11615107229062206
CLIP,LungHist700,1.0,483,42,0.8354478917641995,0.2155225726654298,0.10929821211332943,0.10998947231786842
CLIP,LungHist700,1.0,483,123,0.8354478917641995,0.2155225726654298,0.10929821211332948,0.1099894723178684
CLIP,LungHist700,1.0,483,456,0.8354478917641995,0.2155225726654298,0.10929821211332949,0.10998947231786839
