model,dataset,fraction,n_samples,seed,auroc,f1,brier,ece
CLIP,MHIST,0.01,18,42,0.6606969205834684,0.0,0.2505124149810716,0.14290817908945508
CLIP,MHIST,0.01,18,123,0.5745092742661624,0.0,0.23938203909169442,0.10945338094161276
CLIP,MHIST,0.01,18,456,0.7265036916981812,0.0,0.26958639153272246,0.19802869948792778
CLIP,MHIST,0.05,92,42,0.7850261120115254,0.0,0.2249577937961555,0.1715003167436627
CLIP,MHIST,0.05,92,123,0.7959616423554835,0.0,0.23581904513955143,0.1254060525743882
CLIP,MHIST,0.05,92,456,0.7770259319286872,0.0,0.2301561217556811,0.17208299603630456
CLIP,MHIST,0.1,184,42,0.8092652620205294,0.0,0.21166400138970345,0.16625048494235078
CLIP,MHIST,0.1,184,123,0.8218575544750586,0.0,0.21949271250145433,0.18176676854919435
CLIP,MHIST,0.1,184,456,0.8113812353682694,0.0,0.22877093850592137,0.18055032065710236
CLIP,MHIST,0.25,462,42,0.8336529803709707,0.03804347826086957,0.1936629456361804,0.15521189632907073
CLIP,MHIST,0.25,462,123,0.8436205654601117,0.07957559681697612,0.19241536022989575,0.16885519091866216
CLIP,MHIST,0.25,462,456,0.8256663065009905,0.0273224043715847,0.19657237180830098,0.14563032262835215
CLIP,MHIST,0.5,924,42,0.8428912299657844,0.3042505592841163,0.180141498187984,0.14175144699179504
CLIP,MHIST,0.5,924,123,0.8499864937871422,0.34210526315789475,0.17821199407052643,0.14287588828350592
CLIP,MHIST,0.5,924,456,0.8402575184584908,0.23113207547169812,0.18329030454979736,0.138399049467649
CLIP,MHIST,1.0,1849,42,0.8535251215559156,0.497196261682243,0.1681273174673867,0.11701799192424611
CLIP,MHIST,1.0,1849,123,0.8535251215559156,0.497196261682243,0.1681273174673868,0.11701799192424807
CLIP,MHIST,1.0,1849,456,0.8535251215559156,0.497196261682243,0.16812731746738688,0.11701799192425025
