fraction,seed,auroc,ece,f1,brier
0.01,42,0.7304068880054395,0.21540473281568098,0.4618254879448909,0.16666475951787693
0.01,123,0.7447773800567297,0.21682180182678187,0.4618254879448909,0.16561501837344061
0.01,456,0.5266452698519138,0.21218715828213391,0.4618254879448909,0.16675103506154396
0.05,42,0.5080332609802941,0.27448481086551213,0.4564766318980081,0.19933665910672535
0.05,123,0.5480676642079094,0.24160211388324696,0.4635920745923954,0.1807384879764133
0.05,456,0.43365159616723603,0.2556147392643082,0.4415934331211094,0.196583237852903
0.1,42,0.4759271961172353,0.31023151706413515,0.4273590778541058,0.22729577005443255
0.1,123,0.4769551748973117,0.2797173840015053,0.4101631252860709,0.2139563983036342
0.1,456,0.4846166067748613,0.2546946912404267,0.4549149892964006,0.19620112131182274
0.25,42,0.4727252674687028,0.3159799205878627,0.4060483446727923,0.24112330210446578
0.25,123,0.5282954828221891,0.2757161513028602,0.44329951573388243,0.21373057088238723
0.25,456,0.4749627769314523,0.27630011066726473,0.4108931302357522,0.22385963467551612
0.5,42,0.5120042205615032,0.2955530079825394,0.43447323991616477,0.23493074328178942
0.5,123,0.5154498004060805,0.29323591527264964,0.4343837661339647,0.23445751254349634
0.5,456,0.5070571228802273,0.291252572358891,0.435181328025141,0.23579017370035235
1.0,42,0.5265005905456619,0.29992016329650767,0.44073066377628123,0.24504876152812025
1.0,123,0.5265005905456619,0.29992016329646976,0.44073066377628123,0.24504876152807908
1.0,456,0.5265005905456619,0.29992016329647003,0.44073066377628123,0.24504876152808044
