model,dataset,fraction,n_samples,seed,auroc,f1,brier,ece
CLIP,PCam,0.01,2621,42,0.8798468601424103,0.802244965335094,0.14720158502172317,0.07783342450819197
CLIP,PCam,0.01,2621,123,0.883224294625187,0.7994960513781766,0.14738844299544515,0.08852439916799797
CLIP,PCam,0.01,2621,456,0.8803011183990344,0.7937736022842405,0.1472019542576134,0.07638203944346549
CLIP,PCam,0.05,13107,42,0.8996678891916818,0.8090957496789551,0.1314412260774574,0.0543680618989937
CLIP,PCam,0.05,13107,123,0.9003773075285855,0.8061301715438951,0.13169554713154896,0.06105161533676526
CLIP,PCam,0.05,13107,456,0.8971684387372938,0.8071287377239497,0.13276562713308104,0.049469004603141783
CLIP,PCam,0.1,26214,42,0.9057752914093036,0.8146306147502282,0.12656063601338785,0.0461351741012679
CLIP,PCam,0.1,26214,123,0.9054169184171743,0.8110447666887814,0.1271507885539446,0.05068355111778408
CLIP,PCam,0.1,26214,456,0.9053498184760701,0.8116345241858994,0.12716167764036423,0.04931079847724568
CLIP,PCam,0.25,65536,42,0.9092087244660687,0.8128649373025749,0.12388623310025912,0.041074738649777766
CLIP,PCam,0.25,65536,123,0.9091292789106618,0.8156775626785148,0.1237985751366415,0.039820255915986535
CLIP,PCam,0.25,65536,456,0.910815531872068,0.8140239043824701,0.12277278096672936,0.040536294622980966
CLIP,PCam,0.5,131072,42,0.9140927597528147,0.8181847266212369,0.1205224919830064,0.04080583547500301
CLIP,PCam,0.5,131072,123,0.9144702099600445,0.8198650506859391,0.1200515332028495,0.03948585372806812
CLIP,PCam,0.5,131072,456,0.9121889907764664,0.8148290804044295,0.12214597836706768,0.042889034093877294
CLIP,PCam,1.0,262144,42,0.9165845547342418,0.8234578182051118,0.11839835199186069,0.04063605085856688
CLIP,PCam,1.0,262144,123,0.9165845733606968,0.8234578182051118,0.11839829546491636,0.040635676395078195
CLIP,PCam,1.0,262144,456,0.9165845733606968,0.8234578182051118,0.11839829658291934,0.040635683801167735
