model,dataset,fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement,auroc,brier_raw,brier_scaled
CLIP,PCam,0.01,42,1.2454887813097322,0.07783342450819197,0.012604440462490308,0.06522898404570167,0.8798468601424103,0.14720158502172317,0.14024058205305334
CLIP,PCam,0.01,123,1.1738559474936654,0.08852439916799797,0.015148263047379621,0.07337613612061834,0.883224294625187,0.14738844299544515,0.13855472497864962
CLIP,PCam,0.01,456,1.2488642634053908,0.07638203944346549,0.013944253025438518,0.06243778641802697,0.8803011183990344,0.1472019542576134,0.14052536716470565
CLIP,PCam,0.05,42,1.5832647181020378,0.0543680618989937,0.0292233581711161,0.025144703727877603,0.8996678891916818,0.1314412260774574,0.12918620732533365
CLIP,PCam,0.05,123,1.5791288397765224,0.06105161533676526,0.037083624134073984,0.023967991202691274,0.9003773075285855,0.13169554713154896,0.12919594583531147
CLIP,PCam,0.05,456,1.612948753813127,0.049469004603141783,0.03008863264714289,0.019380371955998895,0.8971684387372938,0.13276562713308104,0.13097673814604352
CLIP,PCam,0.1,42,1.7238202851790152,0.0461351741012679,0.03350606700541694,0.01262910709585096,0.9057752914093036,0.12656063601338785,0.1253949378484846
CLIP,PCam,0.1,123,1.7049114968927988,0.05068355111778408,0.03466827872982544,0.01601527238795864,0.9054169184171743,0.1271507885539446,0.12577861889994565
CLIP,PCam,0.1,456,1.7439487927797344,0.04931079847724568,0.03814799636469284,0.011162802112552841,0.9053498184760701,0.12716167764036423,0.12613893627934086
CLIP,PCam,0.25,42,1.9232918828653747,0.041074738649777766,0.03870904632473606,0.0023656923250417045,0.9092087244660687,0.12388623310025912,0.12370702193381021
CLIP,PCam,0.25,123,1.9309414699162446,0.039820255915986535,0.03829414874363981,0.001526107172346726,0.9091292789106618,0.1237985751366415,0.12360440281162301
CLIP,PCam,0.25,456,1.9588251112302162,0.040536294622980966,0.03914510776646732,0.0013911868565136473,0.910815531872068,0.12277278096672936,0.12268654818933654
CLIP,PCam,0.5,42,2.0264798369520416,0.04080583547500301,0.04184064101337762,-0.0010348055383746155,0.9140927597528147,0.1205224919830064,0.12055926050058223
CLIP,PCam,0.5,123,1.9482982226318502,0.03948585372806812,0.039717686509751535,-0.0002318327816834137,0.9144702099600445,0.1200515332028495,0.11997770664570714
CLIP,PCam,0.5,456,2.062085442421237,0.042889034093877294,0.0427580125978384,0.00013102149603889252,0.9121889907764664,0.12214597836706768,0.12218381776277117
CLIP,PCam,1.0,42,2.084029317806536,0.04063605085856688,0.04023434679999285,0.0004017040585740303,0.9165845547342418,0.11839835199186069,0.11845497197404237
CLIP,PCam,1.0,123,2.084029123681403,0.040635676395078195,0.04023397680816078,0.00040169958691741586,0.9165845733606968,0.11839829546491636,0.11845491643213679
CLIP,PCam,1.0,456,2.0840291275134786,0.040635683801167735,0.04023398412584446,0.0004016996753232749,0.9165845733606968,0.11839829658291934,0.1184549175306542
