model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
CLIP,SPIDER-Breast,0.01,687,42,0.8896968158109977,0.26406463477501724,0.16657442728077312,0.04526296150762796
CLIP,SPIDER-Breast,0.01,687,123,0.8929518838382428,0.25024547523089724,0.16326691041861066,0.04565231991676479
CLIP,SPIDER-Breast,0.01,687,456,0.8962248039593379,0.2725177896748301,0.13163200921008184,0.04605699979572851
CLIP,SPIDER-Breast,0.05,3436,42,0.9263667810458404,0.47198399010184655,0.24983285334207442,0.037558767358736124
CLIP,SPIDER-Breast,0.05,3436,123,0.9242802128071906,0.49163278651361697,0.2634482307677425,0.03789542611539905
CLIP,SPIDER-Breast,0.05,3436,456,0.9213118870020615,0.48546008478659913,0.2457277501861857,0.037925577960762326
CLIP,SPIDER-Breast,0.1,6873,42,0.9364470611970752,0.5373133801798678,0.2340119472537666,0.03364787489939828
CLIP,SPIDER-Breast,0.1,6873,123,0.9363254981281547,0.5372967194394969,0.23244851757786922,0.03350304491592453
CLIP,SPIDER-Breast,0.1,6873,456,0.9337121215355021,0.5342132653029175,0.22754787719101474,0.034099903128799264
CLIP,SPIDER-Breast,0.25,17182,42,0.9487429209911947,0.5917435468355154,0.19332666880074245,0.028963469730172855
CLIP,SPIDER-Breast,0.25,17182,123,0.9487783247113539,0.586650939161387,0.18620340565352153,0.02914723489364745
CLIP,SPIDER-Breast,0.25,17182,456,0.9481532244643428,0.5833218471294594,0.18529639596115655,0.02915738083326054
CLIP,SPIDER-Breast,0.5,34365,42,0.9570164034765374,0.6177964183448765,0.15603623450953244,0.026195523216392777
CLIP,SPIDER-Breast,0.5,34365,123,0.9573341268921545,0.619864253660551,0.15646548220503714,0.026148373281120865
CLIP,SPIDER-Breast,0.5,34365,456,0.9568142450739765,0.6172162711035306,0.15536503417917183,0.02614916964606112
CLIP,SPIDER-Breast,1.0,68730,42,0.9641459390058712,0.6470803695393773,0.12674469533114918,0.02361979169289377
CLIP,SPIDER-Breast,1.0,68730,123,0.9642261279379858,0.6476348711673464,0.1270791035476056,0.023599255523205725
CLIP,SPIDER-Breast,1.0,68730,456,0.9635696531679605,0.6456222111295921,0.12483213243450071,0.02374003432666981
