model,dataset,fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement,auroc,brier_raw,brier_scaled
CLIP,SPIDER-Breast,0.01,42,0.3803043708545385,0.16657442728077312,0.048366461734200394,0.11820796554657273,0.8896968158109977,0.04526296150762796,0.04284901131866978
CLIP,SPIDER-Breast,0.01,123,0.34338077644031734,0.16326691041861066,0.06980374562650273,0.09346316479210794,0.8929518838382428,0.04565231991676479,0.04270196191012555
CLIP,SPIDER-Breast,0.01,456,0.34541843047687526,0.13163200921008184,0.09984512614665275,0.03178688306342908,0.8962248039593379,0.04605699979572851,0.04442496061577994
CLIP,SPIDER-Breast,0.05,42,0.42574510871583143,0.24983285334207442,0.02035384581588264,0.22947900752619177,0.9263667810458404,0.037558767358736124,0.03236860334419842
CLIP,SPIDER-Breast,0.05,123,0.40595468628170933,0.2634482307677425,0.020237725051795965,0.24321050571594652,0.9242802128071906,0.03789542611539905,0.0324693152640324
CLIP,SPIDER-Breast,0.05,456,0.40852570340825983,0.2457277501861857,0.028115898525178068,0.21761185166100763,0.9213118870020615,0.037925577960762326,0.03295633735502361
CLIP,SPIDER-Breast,0.1,42,0.46667744091068425,0.2340119472537666,0.02090192484674504,0.21311002240702154,0.9364470611970752,0.03364787489939828,0.029228850608522802
CLIP,SPIDER-Breast,0.1,123,0.46559187153827475,0.23244851757786922,0.02486659541892563,0.20758192215894358,0.9363254981281547,0.03350304491592453,0.029115113489505833
CLIP,SPIDER-Breast,0.1,456,0.4740823205662634,0.22754787719101474,0.023572929901380456,0.20397494728963428,0.9337121215355021,0.034099903128799264,0.029968912368057495
CLIP,SPIDER-Breast,0.25,42,0.5272347785013628,0.19332666880074245,0.023261538459630696,0.17006513034111176,0.9487429209911947,0.028963469730172855,0.02605142695201916
CLIP,SPIDER-Breast,0.25,123,0.5295985101345925,0.18620340565352153,0.027723704815622873,0.15847970083789867,0.9487783247113539,0.02914723489364745,0.026428779359408447
CLIP,SPIDER-Breast,0.25,456,0.5308518686879827,0.18529639596115655,0.02766238162499632,0.15763401433616023,0.9481532244643428,0.02915738083326054,0.026400675172348443
CLIP,SPIDER-Breast,0.5,42,0.5667484783187933,0.15603623450953244,0.03101192917198041,0.12502430533755204,0.9570164034765374,0.026195523216392777,0.024286074666777693
CLIP,SPIDER-Breast,0.5,123,0.5687374718452768,0.15646548220503714,0.032098809354480326,0.12436667285055682,0.9573341268921545,0.026148373281120865,0.024236724333278305
CLIP,SPIDER-Breast,0.5,456,0.5683905473286303,0.15536503417917183,0.028995462528934257,0.12636957165023757,0.9568142450739765,0.02614916964606112,0.02420839827996183
CLIP,SPIDER-Breast,1.0,42,0.6044542584362668,0.12674469533114918,0.029760031230288312,0.09698466410086087,0.9641459390058712,0.02361979169289377,0.02234868781010576
CLIP,SPIDER-Breast,1.0,123,0.6043706885004027,0.1270791035476056,0.028923851634389444,0.09815525191321615,0.9642261279379858,0.023599255523205725,0.022319533655854415
CLIP,SPIDER-Breast,1.0,456,0.610650769158544,0.12483213243450071,0.029368020740317264,0.09546411169418345,0.9635696531679605,0.02374003432666981,0.022533075539980105
