model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
CONCH,BRACS,0.01,36,42,0.8218985686373276,0.3182943924075788,0.11616518349106762,0.10836004173167846
CONCH,BRACS,0.01,36,123,0.8351013478668295,0.2767391204097707,0.22254666900054154,0.10544819963380882
CONCH,BRACS,0.01,36,456,0.84242800764477,0.22659517021860515,0.04281149814877253,0.11249749617469486
CONCH,BRACS,0.05,182,42,0.8865429609111614,0.5068682819315344,0.17036609355970314,0.08617621354160764
CONCH,BRACS,0.05,182,123,0.8790444018852307,0.4037963250884105,0.06330954741302543,0.09035923857741279
CONCH,BRACS,0.05,182,456,0.8844650779062528,0.5179490583810639,0.18284555046180653,0.08447025552840597
CONCH,BRACS,0.1,365,42,0.8911333921236025,0.5346615856785711,0.10841169833973463,0.08095421260066483
CONCH,BRACS,0.1,365,123,0.8880639198735206,0.41723972699730183,0.06582312139451818,0.08315102164671007
CONCH,BRACS,0.1,365,456,0.8911689506781226,0.5486817380234507,0.13833436974433705,0.07924053117179732
CONCH,BRACS,0.25,914,42,0.896690333227509,0.5541680375254562,0.08885431751204421,0.07481953229116337
CONCH,BRACS,0.25,914,123,0.901988550774996,0.532550975317044,0.047407905307906374,0.07707490314174041
CONCH,BRACS,0.25,914,456,0.8961952491330735,0.5713995142027983,0.06922261657578753,0.07504047530866353
CONCH,BRACS,0.5,1828,42,0.9021903185472856,0.5822786361389657,0.052343744980938564,0.07306047145062158
CONCH,BRACS,0.5,1828,123,0.901250074756223,0.5831375431909349,0.041620068108148355,0.07349397607178518
CONCH,BRACS,0.5,1828,456,0.9014844681047295,0.5625092779278164,0.04759700752682695,0.07331408981523779
CONCH,BRACS,1.0,3657,42,0.9046904324226631,0.5894401916092502,0.02982466603118965,0.071888288922036
CONCH,BRACS,1.0,3657,123,0.9046904324226631,0.5894401916092502,0.02982466603128123,0.07188828892206969
CONCH,BRACS,1.0,3657,456,0.9046904324226631,0.5894401916092502,0.02982466603097152,0.0718882889219555
