model,dataset,fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement,auroc,brier_raw,brier_scaled
CONCH,BRACS,0.01,42,0.8135529136886145,0.11616518349106762,0.10235644378451184,0.013808739706555787,0.8218985686373276,0.10836004173167846,0.10721684546569286
CONCH,BRACS,0.01,123,0.8858205944761631,0.22254666900054154,0.2207613571961868,0.0017853118043547334,0.8351013478668295,0.10544819963380882,0.10448372285508088
CONCH,BRACS,0.01,456,0.745263422078557,0.04281149814877253,0.03086269000034232,0.01194880814843021,0.84242800764477,0.11249749617469486,0.11159477248270865
CONCH,BRACS,0.05,42,0.559806207640854,0.17036609355970314,0.057111770871850244,0.1132543226878529,0.8865429609111614,0.08617621354160764,0.08141593123645949
CONCH,BRACS,0.05,123,0.7262073817992846,0.06330954741302543,0.07275370646749657,-0.009444159054471143,0.8790444018852307,0.09035923857741279,0.09011793852052773
CONCH,BRACS,0.05,456,0.5127034481929237,0.18284555046180653,0.06120110899498522,0.12164444146682131,0.8844650779062528,0.08447025552840597,0.07677650461979632
CONCH,BRACS,0.1,42,0.7233594330651576,0.10841169833973463,0.06160686132725753,0.0468048370124771,0.8911333921236025,0.08095421260066483,0.07971418471314655
CONCH,BRACS,0.1,123,0.7718317882893831,0.06582312139451818,0.09749039050394769,-0.031667269109429505,0.8880639198735206,0.08315102164671007,0.08293187511776211
CONCH,BRACS,0.1,456,0.636499016456725,0.13833436974433705,0.05053508704850453,0.08779928269583251,0.8911689506781226,0.07924053117179732,0.07574375653151663
CONCH,BRACS,0.25,42,0.7578614187584042,0.08885431751204421,0.052770971000052874,0.03608334651199134,0.896690333227509,0.07481953229116337,0.07382189114868841
CONCH,BRACS,0.25,123,0.8038766239214339,0.047407905307906374,0.059950422642338616,-0.012542517334432242,0.901988550774996,0.07707490314174041,0.07705588411370996
CONCH,BRACS,0.25,456,0.7756682637600969,0.06922261657578753,0.04291893138946193,0.0263036851863256,0.8961952491330735,0.07504047530866353,0.07452358030830437
CONCH,BRACS,0.5,42,0.8729833279322721,0.052343744980938564,0.03812276064580129,0.014220984335137271,0.9021903185472856,0.07306047145062158,0.07287348745331375
CONCH,BRACS,0.5,123,0.8790295683120883,0.041620068108148355,0.026951315411445596,0.014668752696702758,0.901250074756223,0.07349397607178518,0.07344375364426305
CONCH,BRACS,0.5,456,0.883303273167448,0.04759700752682695,0.05681368517350569,-0.009216677646678745,0.9014844681047295,0.07331408981523779,0.07331538777730909
CONCH,BRACS,1.0,42,0.9660312804141542,0.02982466603118965,0.02468877511400073,0.005135890917188923,0.9046904324226631,0.071888288922036,0.07193609563305695
CONCH,BRACS,1.0,123,0.9660312804150186,0.02982466603128123,0.024688775114149644,0.0051358909171315865,0.9046904324226631,0.07188828892206969,0.0719360956330917
CONCH,BRACS,1.0,456,0.9660312804156915,0.02982466603097152,0.024688775113098974,0.005135890917872546,0.9046904324226631,0.0718882889219555,0.0719360956329668
