model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
CONCH,CRC,0.01,700,42,0.9980747983000737,0.9632932988824372,0.1876742374016858,0.011994396008604594
CONCH,CRC,0.01,700,123,0.9981258168361564,0.9670336613982313,0.19044015796993702,0.011838787680684177
CONCH,CRC,0.01,700,456,0.998130089327635,0.9649051515943591,0.18683122076039724,0.01172162753453574
CONCH,CRC,0.05,3500,42,0.9986914725616904,0.9726863910669865,0.06917809702129671,0.005996814460969907
CONCH,CRC,0.05,3500,123,0.9987605756107898,0.9729323305338734,0.06953935186507228,0.005909084078314377
CONCH,CRC,0.05,3500,456,0.998636178091834,0.9732703276508106,0.068343192939521,0.0058599553306050624
CONCH,CRC,0.1,7000,42,0.9989276861961738,0.9760109808107447,0.04705975096880854,0.004952769669731582
CONCH,CRC,0.1,7000,123,0.9989250795840423,0.9748626592551073,0.0444733863710845,0.004908377196421776
CONCH,CRC,0.1,7000,456,0.9988571737038675,0.9750869891869427,0.04337168546788492,0.0048321732205879415
CONCH,CRC,0.25,17500,42,0.9991856709798174,0.9793356402681748,0.028319527173685133,0.004005520296179228
CONCH,CRC,0.25,17500,123,0.9991774687314332,0.9784324422867385,0.027296374825808427,0.0040422533860664115
CONCH,CRC,0.25,17500,456,0.9991102383580697,0.9789224695386759,0.0265623058925935,0.003970930496393826
CONCH,CRC,0.5,35000,42,0.999313042689826,0.9812619137741481,0.01918999742697427,0.003512741787915411
CONCH,CRC,0.5,35000,123,0.9993195507451333,0.9813566202581551,0.019456668221493317,0.0034686486322350694
CONCH,CRC,0.5,35000,456,0.9993211402893264,0.9810372590234346,0.019003831490738483,0.003475159008923402
CONCH,CRC,1.0,70000,42,0.9994136787146106,0.9828761845101572,0.013304782491294827,0.0030968063634866324
CONCH,CRC,1.0,70000,123,0.9994136787146106,0.9828761845101572,0.013304782490742817,0.003096806363413209
CONCH,CRC,1.0,70000,456,0.9994136787146106,0.9828761845101572,0.013304782490816814,0.003096806363437574
