model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
CONCH,LungHist700,0.01,7,42,0.8635477222879367,0.44716690843178253,0.39445937643037426,0.11476763292363797
CONCH,LungHist700,0.01,7,123,0.8351183999591101,0.33708935417009955,0.22388843967602937,0.11590656121697161
CONCH,LungHist700,0.01,7,456,0.8904514310903611,0.4482974142037767,0.36663665687606833,0.11491264888263408
CONCH,LungHist700,0.05,24,42,0.8874752321761085,0.2252299106361486,0.1375460704286539,0.10867288354390589
CONCH,LungHist700,0.05,24,123,0.92360257082477,0.36379551820728295,0.20391365295930006,0.10099731139345225
CONCH,LungHist700,0.05,24,456,0.9094596851932989,0.19799605369247164,0.18034227971051883,0.10553110720236836
CONCH,LungHist700,0.1,48,42,0.941509617107398,0.4703412529499486,0.270468225109131,0.09489593851188748
CONCH,LungHist700,0.1,48,123,0.9370843861463282,0.4013161584034958,0.16942264797687492,0.09233729640143903
CONCH,LungHist700,0.1,48,456,0.9413604138470104,0.3561826644533412,0.12847984659806697,0.09195963014327913
CONCH,LungHist700,0.25,120,42,0.9588855917964868,0.6523126158676031,0.2508674691378307,0.0767734530144873
CONCH,LungHist700,0.25,120,123,0.956161734354427,0.5876615278892319,0.220484018800844,0.07579741702927452
CONCH,LungHist700,0.25,120,456,0.9590872863197772,0.5858684205276493,0.24091085283849903,0.0761782789044744
CONCH,LungHist700,0.5,241,42,0.9623929972503328,0.6853606781783993,0.23616513629905753,0.06392588628325595
CONCH,LungHist700,0.5,241,123,0.9637466277543547,0.7202662322952288,0.28756684366708835,0.061262335425669466
CONCH,LungHist700,0.5,241,456,0.9629083708417309,0.6243115069182649,0.20312570312510267,0.06398325236619361
CONCH,LungHist700,1.0,483,42,0.971386775329594,0.7006370321407915,0.20836451760473448,0.05184607148901218
CONCH,LungHist700,1.0,483,123,0.971386775329594,0.7006370321407915,0.2083645176047344,0.05184607148901218
CONCH,LungHist700,1.0,483,456,0.971386775329594,0.7006370321407915,0.20836451760473382,0.05184607148901214
