model,dataset,fraction,n_samples,seed,auroc,f1,brier,ece
CONCH,MHIST,0.01,18,42,0.7125427696740501,0.0,0.24659042766538783,0.13919506219423047
CONCH,MHIST,0.01,18,123,0.6816765712227624,0.0,0.22953617263204515,0.11565802735914454
CONCH,MHIST,0.01,18,456,0.6650639294075275,0.0,0.26739488216029755,0.20375237821266098
CONCH,MHIST,0.05,92,42,0.7934629929767693,0.0,0.21087222932682095,0.1321577404227951
CONCH,MHIST,0.05,92,123,0.766004862236629,0.0,0.22160312628259718,0.1504658045247843
CONCH,MHIST,0.05,92,456,0.721452368089321,0.0,0.21967159678357046,0.12948157211316505
CONCH,MHIST,0.1,184,42,0.7745993156852152,0.03804347826086957,0.20150175582902083,0.11978054707281394
CONCH,MHIST,0.1,184,123,0.781658562938952,0.0273224043715847,0.2044898464689309,0.12604467807699074
CONCH,MHIST,0.1,184,456,0.7755357464433639,0.0,0.21665423770647305,0.15909103781466657
CONCH,MHIST,0.25,462,42,0.8278047902034936,0.24285714285714285,0.1842910278700607,0.1356438237480906
CONCH,MHIST,0.25,462,123,0.8229920763551234,0.37367303609341823,0.1815616355532347,0.11572988640324218
CONCH,MHIST,0.25,462,456,0.8003871781019267,0.25,0.18854241717431264,0.10410920430621509
CONCH,MHIST,0.5,924,42,0.8424365207995678,0.46476190476190476,0.17096796144410267,0.12087216073584932
CONCH,MHIST,0.5,924,123,0.8369079776697281,0.4491362763915547,0.17239517738255494,0.11171876895333105
CONCH,MHIST,0.5,924,456,0.8240725733837565,0.46441947565543074,0.17506553720725382,0.10583095818144195
CONCH,MHIST,1.0,1849,42,0.8509814514676751,0.6023294509151415,0.16143280036665464,0.09174233457362373
CONCH,MHIST,1.0,1849,123,0.8509814514676751,0.6023294509151415,0.1614328003666554,0.09174233457362391
CONCH,MHIST,1.0,1849,456,0.8509814514676751,0.6023294509151415,0.1614328003666556,0.091742334573624
