model,dataset,fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement,auroc,brier_raw,brier_scaled
CONCH,MHIST,0.01,42,3.065446141441359,0.13919506219423047,0.053466806205928585,0.08572825598830189,0.7125427696740501,0.24659042766538783,0.23206332767961566
CONCH,MHIST,0.01,123,2.232174126320512,0.11565802735914454,0.08625726635930071,0.02940076099984383,0.6816765712227624,0.22953617263204515,0.22749733386295565
CONCH,MHIST,0.01,456,4.02656121835942,0.20375237821266098,0.055371825132653096,0.1483805530800079,0.6650639294075275,0.26739488216029755,0.23238057638955675
CONCH,MHIST,0.05,42,2.036664009584734,0.1321577404227951,0.13842787349601976,-0.00627013307322466,0.7934629929767693,0.21087222932682095,0.21068270878358586
CONCH,MHIST,0.05,123,2.189905460224493,0.1504658045247843,0.1442453429616916,0.006220461563092694,0.766004862236629,0.22160312628259718,0.21929767154447094
CONCH,MHIST,0.05,456,2.112969241175336,0.12948157211316505,0.1252890792823506,0.004192492830814437,0.721452368089321,0.21967159678357046,0.21839351924514022
CONCH,MHIST,0.1,42,1.840910440678015,0.11978054707281394,0.12011069419560899,-0.00033014712279505476,0.7745993156852152,0.20150175582902083,0.20184017163043877
CONCH,MHIST,0.1,123,1.8100027584414564,0.12604467807699074,0.1289303110221027,-0.00288563294511196,0.781658562938952,0.2044898464689309,0.20595614318160416
CONCH,MHIST,0.1,456,2.3062043233469467,0.15909103781466657,0.15718132638645324,0.0019097114282133343,0.7755357464433639,0.21665423770647305,0.2129384976654803
CONCH,MHIST,0.25,42,1.875138775108354,0.1356438237480906,0.12831392296861088,0.007329900779479703,0.8278047902034936,0.1842910278700607,0.1840384132762128
CONCH,MHIST,0.25,123,1.6454638240637507,0.11572988640324218,0.11006964658293568,0.005660239820306501,0.8229920763551234,0.1815616355532347,0.18027653524529424
CONCH,MHIST,0.25,456,1.7078689160763059,0.10410920430621509,0.11521982221531288,-0.011110617909097786,0.8003871781019267,0.18854241717431264,0.1887394624804476
CONCH,MHIST,0.5,42,1.7752147528323956,0.12087216073584932,0.11389034057203117,0.006981820163818153,0.8424365207995678,0.17096796144410267,0.16971580661038194
CONCH,MHIST,0.5,123,1.7906400716932316,0.11171876895333105,0.10741502030329234,0.004303748650038713,0.8369079776697281,0.17239517738255494,0.17170348541299973
CONCH,MHIST,0.5,456,1.6808449556932852,0.10583095818144195,0.09282834162902744,0.013002616552414512,0.8240725733837565,0.17506553720725382,0.17405062361153525
CONCH,MHIST,1.0,42,1.7557879047621396,0.09174233457362373,0.0853360111451352,0.006406323428488528,0.8509814514676751,0.16143280036665464,0.16006056498840937
CONCH,MHIST,1.0,123,1.7557879047534939,0.09174233457362391,0.08533601114486201,0.0064063234287618925,0.8509814514676751,0.1614328003666554,0.16006056498837368
CONCH,MHIST,1.0,456,1.7557879047533314,0.091742334573624,0.08533601114485696,0.006406323428767041,0.8509814514676751,0.1614328003666556,0.1600605649883732
