fraction,seed,auroc,ece,f1,brier
0.01,42,0.6395867098865479,0.09197572612919583,0.5458526548766308,0.2310051725791351
0.01,123,0.6679227444624528,0.08622981683549276,0.5479865275001851,0.2219549793672253
0.01,456,0.6600531244372411,0.1479541249137316,0.46806813807361325,0.23942916143943407
0.05,42,0.6424815415090942,0.10420201908652675,0.5891538420112451,0.23936665564972506
0.05,123,0.6481991716189448,0.1347094553789532,0.5488621868462678,0.23997668458478993
0.05,456,0.643143345939132,0.11867519768828175,0.5652947719688542,0.23812468765278774
0.1,42,0.6371871060687915,0.128873825981575,0.5906110420407975,0.2462537001720847
0.1,123,0.6410093643075815,0.14231138808830307,0.5686060694769711,0.246848449635791
0.1,456,0.6294120295335854,0.1349705853452126,0.5614643119941134,0.24835562360337798
0.25,42,0.6359985593372951,0.1432604117992999,0.5889032325739126,0.2465291663555586
0.25,123,0.623991536106609,0.14368873517334668,0.5790173762353051,0.25279464057761486
0.25,456,0.6350036016567622,0.13799537548796686,0.5888709821828275,0.24955478771606518
0.5,42,0.6260444804610121,0.136358734921581,0.5848183431400019,0.24967637221584027
0.5,123,0.6205699621826041,0.16145696047743915,0.562950444853124,0.25580287115734257
0.5,456,0.6308031694579507,0.1424425375114544,0.5702177993274419,0.25050691475479925
1.0,42,0.633211777417612,0.1506645298454751,0.5726621321433486,0.2529525961166905
1.0,123,0.6334278768233388,0.15059388172423793,0.5734689535671639,0.25284472936239116
1.0,456,0.6334458851071493,0.1505911888376763,0.5734689535671639,0.2528408031905853
