model,dataset,fraction,n_samples,seed,auroc,f1,brier,ece
CONCH,PCam,0.01,2621,42,0.9529009896969368,0.8752317034196229,0.08759745875061599,0.04626912300655785
CONCH,PCam,0.01,2621,123,0.9544959171500055,0.8768444586394123,0.08772494352598695,0.058416172043962517
CONCH,PCam,0.01,2621,456,0.9532860320471808,0.8738588144528738,0.0886454440954598,0.054489191091790054
CONCH,PCam,0.05,13107,42,0.9579148439237003,0.8831834042961872,0.08115603759616684,0.033898314220875546
CONCH,PCam,0.05,13107,123,0.9569015498763919,0.880156918228882,0.08304435799939178,0.03984245786312066
CONCH,PCam,0.05,13107,456,0.9580526685140311,0.883829650976625,0.08138171339959879,0.03715365319860608
CONCH,PCam,0.1,26214,42,0.9595375694980507,0.8871426289730076,0.07914859154905488,0.03126873151244947
CONCH,PCam,0.1,26214,123,0.9607029932530474,0.888689981458986,0.07813101750531556,0.033781717381764755
CONCH,PCam,0.1,26214,456,0.9597538822440067,0.8869009584664537,0.07891504298514326,0.03180248276700828
CONCH,PCam,0.25,65536,42,0.9626578024410917,0.8904964629813387,0.0761163385432704,0.03453492834629482
CONCH,PCam,0.25,65536,123,0.9631792761228404,0.8925329241784938,0.07538941824419026,0.03266463394571883
CONCH,PCam,0.25,65536,456,0.962728482386826,0.8896012309270419,0.0763249611729701,0.03463371483641881
CONCH,PCam,0.5,131072,42,0.9648972313104732,0.8924665661781213,0.07407017334494766,0.03457649491914723
CONCH,PCam,0.5,131072,123,0.9643738502797435,0.8929132343985384,0.07452339843942336,0.03498278174103752
CONCH,PCam,0.5,131072,456,0.9648564803524595,0.8920549351816198,0.07435357514849744,0.03519683948598799
CONCH,PCam,1.0,262144,42,0.96573344365112,0.8933286223621237,0.07351355455938743,0.03810425364702974
CONCH,PCam,1.0,262144,123,0.9657399368332955,0.8933286223621237,0.07350455155671037,0.038095427451651856
CONCH,PCam,1.0,262144,456,0.9657307949692344,0.8933286223621237,0.0735172799107778,0.03810783716181467
