model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
CONCH,SPIDER-Breast,0.01,687,42,0.9696770791517488,0.6104518637985683,0.30740869590276904,0.030041246024385085
CONCH,SPIDER-Breast,0.01,687,123,0.9683237106933965,0.5872900029968143,0.2918061831233645,0.031049450639556594
CONCH,SPIDER-Breast,0.01,687,456,0.9680832224126544,0.6105738617046588,0.3211431819390565,0.031939827443570865
CONCH,SPIDER-Breast,0.05,3436,42,0.9784558409746842,0.7100214308893644,0.179302594777566,0.02074554487225947
CONCH,SPIDER-Breast,0.05,3436,123,0.9790121736553217,0.7130047363383081,0.18576760154578936,0.021031357183028277
CONCH,SPIDER-Breast,0.05,3436,456,0.9784036488606568,0.7150202425373146,0.18837634046719673,0.02107996202369428
CONCH,SPIDER-Breast,0.1,6873,42,0.9818559656736466,0.7372312382390969,0.13614228203440187,0.01833081797205703
CONCH,SPIDER-Breast,0.1,6873,123,0.9816172976422644,0.7294018774419309,0.13523275092479667,0.018725277208162514
CONCH,SPIDER-Breast,0.1,6873,456,0.9816987466131916,0.7422668824411258,0.14192832170437872,0.018470879823837705
CONCH,SPIDER-Breast,0.25,17182,42,0.9851187178538834,0.762575721875473,0.09304236417616962,0.01604266775779361
CONCH,SPIDER-Breast,0.25,17182,123,0.9847756982626333,0.754093256812639,0.08806160461390877,0.016382648849743702
CONCH,SPIDER-Breast,0.25,17182,456,0.9847764963458362,0.7590703878135164,0.09169308245893883,0.016306859786395192
CONCH,SPIDER-Breast,0.5,34365,42,0.9868883227449042,0.7707472405609957,0.06596351134803151,0.015018341098079757
CONCH,SPIDER-Breast,0.5,34365,123,0.9868370897200194,0.7715999946361386,0.06678910156614912,0.015003354662908218
CONCH,SPIDER-Breast,0.5,34365,456,0.9867524833209629,0.7728651173360261,0.0650464422337056,0.014905286721222329
CONCH,SPIDER-Breast,1.0,68730,42,0.9883801467067115,0.7828783075707056,0.04580484368270245,0.013898715155454445
CONCH,SPIDER-Breast,1.0,68730,123,0.9883801326713376,0.7828783075707056,0.045805007049954126,0.013898700733756134
CONCH,SPIDER-Breast,1.0,68730,456,0.9883802052801965,0.7828783075707056,0.045804652236459534,0.01389873363680955
