model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
GigaPath,BRACS,0.01,36,42,0.7542515607975714,0.24859548351084948,0.08022911212457318,0.11668868612326998
GigaPath,BRACS,0.01,36,123,0.7293436355868282,0.1946930945121784,0.12448887041826928,0.11726517528655656
GigaPath,BRACS,0.01,36,456,0.7244782759358781,0.1760237070761971,0.03556080493120334,0.118951855433607
GigaPath,BRACS,0.05,182,42,0.8414614724041082,0.3994753448833642,0.10684319794691706,0.09848003803451899
GigaPath,BRACS,0.05,182,123,0.8176101933462226,0.3646371962146177,0.0595656700306713,0.1028297017095736
GigaPath,BRACS,0.05,182,456,0.8493784976185508,0.4970122866484429,0.19973354671425392,0.09581567866893517
GigaPath,BRACS,0.1,365,42,0.8587227476555076,0.4556028116350731,0.08836504556814025,0.0910809908670006
GigaPath,BRACS,0.1,365,123,0.8533198101464506,0.45902060805871103,0.08772350404103264,0.09183007079768803
GigaPath,BRACS,0.1,365,456,0.8622398274049993,0.5222800458963264,0.1488752444692541,0.08874128401543076
GigaPath,BRACS,0.25,914,42,0.8756794924984559,0.5677737312271777,0.11686012741671001,0.08157719412570066
GigaPath,BRACS,0.25,914,123,0.8845532455382513,0.5382827463793161,0.10011690321971833,0.0825698726374672
GigaPath,BRACS,0.25,914,456,0.8793111224538089,0.5521061890258135,0.12224240262468258,0.08114460165858438
GigaPath,BRACS,0.5,1828,42,0.8870519736413315,0.5810629563678793,0.0807111620577997,0.07745676285682032
GigaPath,BRACS,0.5,1828,123,0.8926507385575704,0.6068993807434305,0.10645992891263337,0.07585183302653899
GigaPath,BRACS,0.5,1828,456,0.891684173626124,0.5823064830743118,0.0817183081849577,0.07709040191697862
GigaPath,BRACS,1.0,3657,42,0.8982040556571903,0.6049751109795717,0.0660298730265532,0.07339071394047196
GigaPath,BRACS,1.0,3657,123,0.8982040556571903,0.6049751109795717,0.06602987302655003,0.07339071394047067
GigaPath,BRACS,1.0,3657,456,0.8982040556571903,0.6049751109795717,0.06602987302655466,0.07339071394047261
