model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
GigaPath,CRC,0.01,700,42,0.9993149240197547,0.9804759148445394,0.2406979202127243,0.012775084523022909
GigaPath,CRC,0.01,700,123,0.9992490914165697,0.9801660937384773,0.24018759419400731,0.012839044303385509
GigaPath,CRC,0.01,700,456,0.9992497206986501,0.983220311712323,0.24205395820587233,0.012611077605609176
GigaPath,CRC,0.05,3500,42,0.9995544515581085,0.987043409223804,0.08468759770580019,0.004100774397839828
GigaPath,CRC,0.05,3500,123,0.9994615655229274,0.9869341435519016,0.08244266591392066,0.003993888903665805
GigaPath,CRC,0.05,3500,456,0.9994650702573173,0.9873946630842555,0.08282295654842754,0.003959902382845524
GigaPath,CRC,0.1,7000,42,0.9996839808543054,0.9887684652513554,0.05135062970317714,0.002775085133762568
GigaPath,CRC,0.1,7000,123,0.9995964399969596,0.9883666979964482,0.0512651716725171,0.0027623078141550267
GigaPath,CRC,0.1,7000,456,0.9995495215657539,0.988653061443672,0.0510248845295675,0.002778806115429002
GigaPath,CRC,0.25,17500,42,0.999827979482348,0.9906786359188315,0.027746776174221492,0.001907584145877757
GigaPath,CRC,0.25,17500,123,0.999777013516026,0.9907131656617909,0.027706329168987052,0.0018987029956699668
GigaPath,CRC,0.25,17500,456,0.9997510971190499,0.9904754964298836,0.026768871297920768,0.0019010731978663068
GigaPath,CRC,0.5,35000,42,0.9998710462840642,0.992122024275035,0.017275879546069368,0.0014604647707214162
GigaPath,CRC,0.5,35000,123,0.999852259325525,0.992238878101609,0.01731767436127015,0.0014606839319092917
GigaPath,CRC,0.5,35000,456,0.9998550767766415,0.9921936780274218,0.017907167064759293,0.0014537012923768083
GigaPath,CRC,1.0,70000,42,0.9999000489102977,0.9938646935718864,0.011179249081551022,0.0010984890132809358
GigaPath,CRC,1.0,70000,123,0.9999000489102977,0.9938646935718864,0.01117924911776477,0.0010984890153650619
GigaPath,CRC,1.0,70000,456,0.9999000489102977,0.9938646935718864,0.011179249114845025,0.0010984890151969117
