model,dataset,fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement,auroc,brier_raw,brier_scaled
GigaPath,CRC,0.01,42,0.3301955598649302,0.2406979202127243,0.00401526086929638,0.23668265934342791,0.9993149240197547,0.012775084523022909,0.0034340203571218953
GigaPath,CRC,0.01,123,0.3353068287955384,0.24018759419400731,0.003810094055031713,0.2363775001389756,0.9992490914165697,0.012839044303385509,0.003543932084847016
GigaPath,CRC,0.01,456,0.32442304593760996,0.24205395820587233,0.005127688027631656,0.23692627017824067,0.9992497206986501,0.012611077605609176,0.0030556715877179735
GigaPath,CRC,0.05,42,0.49045548139736345,0.08468759770580019,0.0026166766428624266,0.08207092106293776,0.9995544515581085,0.004100774397839828,0.002356873207637409
GigaPath,CRC,0.05,123,0.4893890903631296,0.08244266591392066,0.002619620909307743,0.07982304500461292,0.9994615655229274,0.003993888903665805,0.0023295432170539134
GigaPath,CRC,0.05,456,0.49511700139328985,0.08282295654842754,0.002404100478592977,0.08041885606983457,0.9994650702573173,0.003959902382845524,0.0022555539244148055
GigaPath,CRC,0.1,42,0.54699929566315,0.05135062970317714,0.0018321920624396555,0.04951843764073749,0.9996839808543054,0.002775085133762568,0.001987642277213658
GigaPath,CRC,0.1,123,0.5345757606783627,0.0512651716725171,0.001981156826212949,0.04928401484630415,0.9995964399969596,0.0027623078141550267,0.0019454860882568556
GigaPath,CRC,0.1,456,0.5551297163625345,0.0510248845295675,0.0017065528295651887,0.04931833170000231,0.9995495215657539,0.002778806115429002,0.0019779640245651997
GigaPath,CRC,0.25,42,0.5961733803278313,0.027746776174221492,0.00145757944799331,0.026289196726228183,0.999827979482348,0.001907584145877757,0.0015892374874520374
GigaPath,CRC,0.25,123,0.5933385731746613,0.027706329168987052,0.0019210419599979957,0.025785287208989056,0.999777013516026,0.0018987029956699668,0.0015738709788502077
GigaPath,CRC,0.25,456,0.61987897991703,0.026768871297920768,0.000996373219091394,0.025772498078829375,0.9997510971190499,0.0019010731978663068,0.0015974442489549152
GigaPath,CRC,0.5,42,0.6301842132601855,0.017275879546069368,0.001445875814937943,0.015830003731131425,0.9998710462840642,0.0014604647707214162,0.0013214545048485945
GigaPath,CRC,0.5,123,0.6303313087296019,0.01731767436127015,0.0015839475523540274,0.015733726808916125,0.999852259325525,0.0014606839319092917,0.001300430298065323
GigaPath,CRC,0.5,456,0.6348013456002339,0.017907167064759293,0.0014117946284325313,0.01649537243632676,0.9998550767766415,0.0014537012923768083,0.0012927330548044387
GigaPath,CRC,1.0,42,0.6547001333588386,0.011179249081551022,0.0019687081832703867,0.009210540898280635,0.9999000489102977,0.0010984890132809358,0.001016412192632504
GigaPath,CRC,1.0,123,0.6547001331744984,0.01117924911776477,0.001968708185855877,0.009210540931908894,0.9999000489102977,0.0010984890153650619,0.0010164121942210942
GigaPath,CRC,1.0,456,0.654700133189351,0.011179249114845025,0.0019687081856473157,0.009210540929197708,0.9999000489102977,0.0010984890151969117,0.001016412194092891
