model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
GigaPath,LungHist700,0.01,7,42,0.6240874319142768,0.3299442328765637,0.16518324649707974,0.12049661277395793
GigaPath,LungHist700,0.01,7,123,0.64861586836457,0.2815207668148845,0.09820623940660488,0.12018954208305366
GigaPath,LungHist700,0.01,7,456,0.6496078434053717,0.2978471978471978,0.18042340204726218,0.11945159349229813
GigaPath,LungHist700,0.05,24,42,0.7325478498751823,0.0987515885475069,0.15090472132375374,0.12253984194988857
GigaPath,LungHist700,0.05,24,123,0.8065602864331043,0.2489795918367347,0.1572319722937438,0.1142674833965853
GigaPath,LungHist700,0.05,24,456,0.739722056324397,0.1739250537365227,0.17565967446631064,0.11808762086062982
GigaPath,LungHist700,0.1,48,42,0.8390312501331737,0.22110462222024088,0.16242924921810495,0.11184659372080122
GigaPath,LungHist700,0.1,48,123,0.7987724604283974,0.24765144152899254,0.12772515162374004,0.1111103451079917
GigaPath,LungHist700,0.1,48,456,0.831328694648738,0.2533429398657754,0.11464396896241316,0.11115094846608856
GigaPath,LungHist700,0.25,120,42,0.9206996145025708,0.4604535147392291,0.22175789972879978,0.09803079063630836
GigaPath,LungHist700,0.25,120,123,0.9373879411721722,0.5209910050976913,0.25541429105180036,0.09750833147080237
GigaPath,LungHist700,0.25,120,456,0.8945049552153298,0.464897198958013,0.19643421942077624,0.09713348229754051
GigaPath,LungHist700,0.5,241,42,0.9423809908278543,0.5917800543771686,0.25356725665103064,0.08300799043707874
GigaPath,LungHist700,0.5,241,123,0.9555667917165227,0.7121513237891138,0.36864222520379186,0.07993995001076075
GigaPath,LungHist700,0.5,241,456,0.9390093470171312,0.6295691446209251,0.28738693264961046,0.08283427838665082
GigaPath,LungHist700,1.0,483,42,0.9645228951402901,0.7248092894377723,0.31209289068839163,0.06439055812660824
GigaPath,LungHist700,1.0,483,123,0.9645228951402901,0.7248092894377723,0.3120928906883917,0.06439055812660825
GigaPath,LungHist700,1.0,483,456,0.9645228951402901,0.7248092894377723,0.31209289068839124,0.06439055812660824
