model,dataset,fraction,n_samples,seed,auroc,f1,brier,ece
GigaPath,MHIST,0.01,18,42,0.6532234828020889,0.0,0.24977763900037067,0.14334390862082014
GigaPath,MHIST,0.01,18,123,0.6738474698361245,0.0,0.23429511108473258,0.1570944958581187
GigaPath,MHIST,0.01,18,456,0.6449306681073292,0.0,0.2617579734975475,0.2010302679308633
GigaPath,MHIST,0.05,92,42,0.8380334954078875,0.0,0.20610603517149678,0.16466311703550476
GigaPath,MHIST,0.05,92,123,0.8389023951017469,0.0,0.2186484953253489,0.20197399081975217
GigaPath,MHIST,0.05,92,456,0.8366288492706644,0.0,0.20622202790509336,0.16577479424793715
GigaPath,MHIST,0.1,184,42,0.8449936971006662,0.16624685138539042,0.18642110158112338,0.142220346002596
GigaPath,MHIST,0.1,184,123,0.8425040518638574,0.11458333333333333,0.19022439056138132,0.15724534458880543
GigaPath,MHIST,0.1,184,456,0.8431928687196111,0.0,0.20267019897678404,0.16495144970402958
GigaPath,MHIST,0.25,462,42,0.8721411849450746,0.5193798449612403,0.16565472167002998,0.13158598544370206
GigaPath,MHIST,0.25,462,123,0.8549612821898073,0.5353159851301115,0.16756489653254142,0.11227443999686786
GigaPath,MHIST,0.25,462,456,0.8534936070592473,0.5290806754221389,0.16798883662743883,0.11067662767497498
GigaPath,MHIST,0.5,924,42,0.878309022150189,0.6542372881355932,0.15333743202215025,0.10705232298993032
GigaPath,MHIST,0.5,924,123,0.8691202953358544,0.6490066225165563,0.15407417871074597,0.09754570989510722
GigaPath,MHIST,0.5,924,456,0.8766207455429498,0.6442953020134228,0.15273332959333355,0.10761812542766908
GigaPath,MHIST,1.0,1849,42,0.8868359445344859,0.7111801242236024,0.1408570818401572,0.0826854753853362
GigaPath,MHIST,1.0,1849,123,0.8868359445344859,0.7111801242236024,0.14085708184015783,0.08268547538533676
GigaPath,MHIST,1.0,1849,456,0.8868359445344859,0.7111801242236024,0.1408570818401587,0.0826854753853372
