model,dataset,fraction,n_samples,seed,auroc,f1,brier,ece
GigaPath,PCam,0.01,2621,42,0.9811973015914403,0.9336026417876951,0.052147612820819464,0.07028570957723108
GigaPath,PCam,0.01,2621,123,0.9827876469366056,0.9351188954231654,0.051755523230209544,0.07550899829540125
GigaPath,PCam,0.01,2621,456,0.9822530974835224,0.934530466178867,0.05227356111340937,0.07306494527083554
GigaPath,PCam,0.05,13107,42,0.9825704140437777,0.934020882710909,0.04773667280818389,0.03837671561783935
GigaPath,PCam,0.05,13107,123,0.9835935726615975,0.9359961655216488,0.04678436253471521,0.03879916048302677
GigaPath,PCam,0.05,13107,456,0.9822795172471416,0.9334868989346387,0.048458838232369045,0.038113484914187576
GigaPath,PCam,0.1,26214,42,0.982144825626524,0.9334742641171007,0.04853689009253983,0.03146765513972773
GigaPath,PCam,0.1,26214,123,0.9827529085982313,0.9333631770800026,0.04746673444976544,0.03067403989151061
GigaPath,PCam,0.1,26214,456,0.9832681498681729,0.9348964988499873,0.047023490720789214,0.032139966831707126
GigaPath,PCam,0.25,65536,42,0.9820909914465941,0.9312678405336926,0.04952769553916579,0.03469073758421948
GigaPath,PCam,0.25,65536,123,0.9826195767088207,0.9324527938960664,0.04872940919250518,0.03563743769883394
GigaPath,PCam,0.25,65536,456,0.9812352138777279,0.930884144386741,0.051137771529715714,0.03761838649062601
GigaPath,PCam,0.5,131072,42,0.981108572610915,0.9302564431748884,0.05150127802718567,0.03856868815975281
GigaPath,PCam,0.5,131072,123,0.9818039615019937,0.930114603062502,0.05135930568212695,0.040435056360183706
GigaPath,PCam,0.5,131072,456,0.9823645954425081,0.9349399126581875,0.047678110673271934,0.03226724272128851
GigaPath,PCam,1.0,262144,42,0.9799245745550995,0.9310798242519484,0.05293097818277187,0.041729722503607646
GigaPath,PCam,1.0,262144,123,0.9799245745550995,0.9310798242519484,0.052930978182751866,0.04172972250357319
GigaPath,PCam,1.0,262144,456,0.9799245745550995,0.9310798242519484,0.05293097818278032,0.04172972250362147
