model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
GigaPath,SPIDER-Breast,0.01,687,42,0.9875196802451893,0.7650988373517651,0.4165607177446128,0.025279932333964743
GigaPath,SPIDER-Breast,0.01,687,123,0.9868341193710353,0.7352859410960718,0.40694681655265974,0.026945684187812277
GigaPath,SPIDER-Breast,0.01,687,456,0.9857969541979457,0.750888608694488,0.43719570283137893,0.02847522163626622
GigaPath,SPIDER-Breast,0.05,3436,42,0.9930226381886429,0.8340656993197579,0.2109213707797755,0.013584969777010921
GigaPath,SPIDER-Breast,0.05,3436,123,0.9930958251766177,0.8332116900153315,0.21980013053882183,0.014155855350815962
GigaPath,SPIDER-Breast,0.05,3436,456,0.9924385568986719,0.8325642991053965,0.21844542166093406,0.014058378605698292
GigaPath,SPIDER-Breast,0.1,6873,42,0.9936897752940086,0.8438158633124546,0.1452206114105222,0.01138681229737764
GigaPath,SPIDER-Breast,0.1,6873,123,0.9938338966573058,0.841154233244146,0.1456762550299959,0.011580721954847063
GigaPath,SPIDER-Breast,0.1,6873,456,0.9933013585952583,0.8400606368521815,0.14593265822405815,0.011609428851110458
GigaPath,SPIDER-Breast,0.25,17182,42,0.9944803885482071,0.8560249007466564,0.08464757216609824,0.009560110599168468
GigaPath,SPIDER-Breast,0.25,17182,123,0.9943318443818698,0.8522907138960929,0.07911923793514374,0.00965207737395946
GigaPath,SPIDER-Breast,0.25,17182,456,0.9943421981915653,0.8502890065749653,0.08497908502693786,0.009784294528104427
GigaPath,SPIDER-Breast,0.5,34365,42,0.9948161259390846,0.8621052133366124,0.05117114371538888,0.00877990286254338
GigaPath,SPIDER-Breast,0.5,34365,123,0.9946760053380334,0.8612469751693961,0.049182035586658956,0.008855316682619185
GigaPath,SPIDER-Breast,0.5,34365,456,0.994697687918457,0.8611633692353287,0.05008773834024646,0.00883451029169395
GigaPath,SPIDER-Breast,1.0,68730,42,0.9948217828402109,0.8661501256911345,0.02535327253671837,0.008397007198770769
GigaPath,SPIDER-Breast,1.0,68730,123,0.9948216903999246,0.8661501256911345,0.02535524336518803,0.008397087076200254
GigaPath,SPIDER-Breast,1.0,68730,456,0.9948217141742828,0.8661501256911345,0.025354762240127643,0.008397067919752171
