model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
H-Optimus-0,BRACS,0.01,36,42,0.7142177293477519,0.2174037676969744,0.08121669958339582,0.11911118097080402
H-Optimus-0,BRACS,0.01,36,123,0.7127573176309276,0.16974397068447367,0.1044406022014035,0.11663908744865435
H-Optimus-0,BRACS,0.01,36,456,0.735210586692477,0.15441874738029512,0.052643218526453664,0.11912037146157903
H-Optimus-0,BRACS,0.05,182,42,0.8295138371145774,0.407402689091347,0.09945861550946558,0.0996798029766799
H-Optimus-0,BRACS,0.05,182,123,0.8050772351246863,0.38482546977465143,0.07035385023546446,0.10303143121546467
H-Optimus-0,BRACS,0.05,182,456,0.846511629988479,0.5025919208895652,0.21301063185831437,0.09541194530364235
H-Optimus-0,BRACS,0.1,365,42,0.8566555528019045,0.4412294533079223,0.07747464452207302,0.09190919310542833
H-Optimus-0,BRACS,0.1,365,123,0.8506934232573088,0.4624994697194837,0.08305352014020698,0.09298496648231529
H-Optimus-0,BRACS,0.1,365,456,0.8614296813743162,0.513841606331168,0.1429783204314212,0.08908934686509208
H-Optimus-0,BRACS,0.25,914,42,0.8752234151204087,0.5613749944418434,0.10882750478698239,0.08266961896986912
H-Optimus-0,BRACS,0.25,914,123,0.8795586563816541,0.5409334008855031,0.07477921077843748,0.08354583648966228
H-Optimus-0,BRACS,0.25,914,456,0.8774022675990528,0.5577082238435344,0.09833209666861953,0.08202081678691106
H-Optimus-0,BRACS,0.5,1828,42,0.8859191568188276,0.5894231036161731,0.07614299419020923,0.07829016138527055
H-Optimus-0,BRACS,0.5,1828,123,0.8899554965487495,0.5874649212223193,0.07676644251148887,0.07683277273257465
H-Optimus-0,BRACS,0.5,1828,456,0.8866287102083922,0.548749336091097,0.07504311886837844,0.07866810496131783
H-Optimus-0,BRACS,1.0,3657,42,0.8956033932491521,0.5853666534551226,0.05696337787115033,0.07393046418583317
H-Optimus-0,BRACS,1.0,3657,123,0.8956033932491521,0.5853666534551226,0.05696337787125498,0.07393046418585529
H-Optimus-0,BRACS,1.0,3657,456,0.8956033932491521,0.5853666534551226,0.05696337787184952,0.07393046418598348
