model,dataset,fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement,auroc,brier_raw,brier_scaled
H-Optimus-0,BRACS,0.01,42,1.6688513499885915,0.08121669958339582,0.05811748193874425,0.023099217644651573,0.7142177293477519,0.11911118097080402,0.11874980827740736
H-Optimus-0,BRACS,0.01,123,1.4165883225188223,0.1044406022014035,0.0803061357061411,0.024134466495262394,0.7127573176309276,0.11663908744865435,0.1167007421727251
H-Optimus-0,BRACS,0.01,456,2.1732584570619164,0.052643218526453664,0.03257938497040878,0.020063833556044887,0.735210586692477,0.11912037146157903,0.11999740283976276
H-Optimus-0,BRACS,0.05,42,0.6485397036469266,0.09945861550946558,0.06325908999651358,0.036199525512952,0.8295138371145774,0.0996798029766799,0.09795093074838017
H-Optimus-0,BRACS,0.05,123,0.8650929095360542,0.07035385023546446,0.04372618919047234,0.026627661044992125,0.8050772351246863,0.10303143121546467,0.10259342122106031
H-Optimus-0,BRACS,0.05,456,0.542470444104273,0.21301063185831437,0.04193435617994487,0.1710762756783695,0.846511629988479,0.09541194530364235,0.08702699214437722
H-Optimus-0,BRACS,0.1,42,0.752297161430245,0.07747464452207302,0.04755762849938158,0.029917016022691437,0.8566555528019045,0.09190919310542833,0.09031931879289647
H-Optimus-0,BRACS,0.1,123,0.7584508533965318,0.08305352014020698,0.047385016533743426,0.03566850360646355,0.8506934232573088,0.09298496648231529,0.09160524902587881
H-Optimus-0,BRACS,0.1,456,0.6916958212751094,0.1429783204314212,0.03845530912475659,0.10452301130666461,0.8614296813743162,0.08908934686509208,0.08487022893700455
H-Optimus-0,BRACS,0.25,42,0.7432641388983134,0.10882750478698239,0.04809003342581761,0.06073747136116478,0.8752234151204087,0.08266961896986912,0.08048915432610913
H-Optimus-0,BRACS,0.25,123,0.7826655986297106,0.07477921077843748,0.04987946806169965,0.02489974271673783,0.8795586563816541,0.08354583648966228,0.08231543530382897
H-Optimus-0,BRACS,0.25,456,0.7509046188262558,0.09833209666861953,0.04626025123282553,0.052071845435794,0.8774022675990528,0.08202081678691106,0.08023478778282297
H-Optimus-0,BRACS,0.5,42,0.8181082674654794,0.07614299419020923,0.042699670088022064,0.033443324102187165,0.8859191568188276,0.07829016138527055,0.07747531337770759
H-Optimus-0,BRACS,0.5,123,0.8345748170063803,0.07676644251148887,0.037771523777501786,0.03899491873398708,0.8899554965487495,0.07683277273257465,0.07600566231485703
H-Optimus-0,BRACS,0.5,456,0.8191816257780258,0.07504311886837844,0.07651419082413824,-0.001471071955759795,0.8866287102083922,0.07866810496131783,0.07821472075025397
H-Optimus-0,BRACS,1.0,42,0.8796049384831752,0.05696337787115033,0.049741229207114684,0.007222148664035644,0.8956033932491521,0.07393046418583317,0.07380128932005162
H-Optimus-0,BRACS,1.0,123,0.8796049384847155,0.05696337787125498,0.04974122920700357,0.0072221486642514085,0.8956033932491521,0.07393046418585529,0.07380128932007106
H-Optimus-0,BRACS,1.0,456,0.8796049384878013,0.05696337787184952,0.049741229206877145,0.0072221486649723735,0.8956033932491521,0.07393046418598348,0.07380128932019599
