model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
H-Optimus-0,CRC,0.01,700,42,0.9994422234589754,0.9848711204501797,0.2310467329028051,0.011818257377811937
H-Optimus-0,CRC,0.01,700,123,0.9993747965760306,0.9832903472221456,0.22795961636683476,0.01181350439508214
H-Optimus-0,CRC,0.01,700,456,0.9995115536499353,0.9858933525679839,0.23164462973139452,0.011872734127996467
H-Optimus-0,CRC,0.05,3500,42,0.9996612889583785,0.9896454933200542,0.07936487127254689,0.00360453881741152
H-Optimus-0,CRC,0.05,3500,123,0.9995952967547892,0.9899533448483366,0.0789289429256265,0.0035076750941947787
H-Optimus-0,CRC,0.05,3500,456,0.9996513479132396,0.9908080827127388,0.07925427325755952,0.0034501456975477855
H-Optimus-0,CRC,0.1,7000,42,0.9997761275632049,0.99149384913278,0.048671398847458226,0.002345337363619462
H-Optimus-0,CRC,0.1,7000,123,0.9997069037751617,0.9911093513273236,0.047849659148356385,0.002347903894020407
H-Optimus-0,CRC,0.1,7000,456,0.9996990480219693,0.9919190562569974,0.04889820290315396,0.002304342721015668
H-Optimus-0,CRC,0.25,17500,42,0.9998993362205434,0.9934496030727593,0.025750189050465718,0.0015097352398085262
H-Optimus-0,CRC,0.25,17500,123,0.9998634002161249,0.9940670665493607,0.027888713687817906,0.001511584663614641
H-Optimus-0,CRC,0.25,17500,456,0.9998648616150521,0.9935241629450056,0.026302514197465605,0.0015198217353581958
H-Optimus-0,CRC,0.5,35000,42,0.9999353528094949,0.9949057390578145,0.016501262098533396,0.0010716358259464532
H-Optimus-0,CRC,0.5,35000,123,0.9999249620359101,0.9950420733504743,0.016521028071504257,0.0010799547496200528
H-Optimus-0,CRC,0.5,35000,456,0.9999269930701035,0.9948561214316448,0.016326381058212436,0.0010875266054826197
H-Optimus-0,CRC,1.0,70000,42,0.999951537035037,0.9960615319115321,0.01114095798943116,0.0008209917594491144
H-Optimus-0,CRC,1.0,70000,123,0.999951537035037,0.9960615319115321,0.011140957989400135,0.0008209917594479396
H-Optimus-0,CRC,1.0,70000,456,0.999951537035037,0.9960615319115321,0.011140957989459395,0.0008209917594502549
