model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
H-Optimus-0,LungHist700,0.01,7,42,0.6183796914931499,0.3323308244606419,0.16247323103305644,0.12056492721005345
H-Optimus-0,LungHist700,0.01,7,123,0.6234392775756307,0.2549433653207238,0.08452911316466077,0.12073017111105676
H-Optimus-0,LungHist700,0.01,7,456,0.659004492570417,0.26916851125677016,0.15153359171015024,0.11988091592433338
H-Optimus-0,LungHist700,0.05,24,42,0.7414447960428939,0.06623802826334471,0.1725497759560602,0.12306739246218033
H-Optimus-0,LungHist700,0.05,24,123,0.7610725786488318,0.157701123927832,0.11570059799554641,0.11489087228554291
H-Optimus-0,LungHist700,0.05,24,456,0.7270364392075164,0.20052357552357553,0.153290407127743,0.1177228684081898
H-Optimus-0,LungHist700,0.1,48,42,0.8321052465545576,0.2586575586575587,0.06807934903426016,0.11181749686224542
H-Optimus-0,LungHist700,0.1,48,123,0.7758858134094713,0.29436457849538744,0.12361731326260798,0.1117592474591846
H-Optimus-0,LungHist700,0.1,48,456,0.8347294465436687,0.28074040426981606,0.10312778123279319,0.11172042010322532
H-Optimus-0,LungHist700,0.25,120,42,0.9043358970484899,0.4641374203533913,0.18381055727241416,0.09922889835847613
H-Optimus-0,LungHist700,0.25,120,123,0.9246099572231331,0.4744952526465131,0.2141258897625707,0.09872701527525489
H-Optimus-0,LungHist700,0.25,120,456,0.9081936498847919,0.5119008877868944,0.23381537463174798,0.09828000466928448
H-Optimus-0,LungHist700,0.5,241,42,0.9356438921283051,0.6273623459045453,0.2773667471727532,0.08523382716267831
H-Optimus-0,LungHist700,0.5,241,123,0.9506188015710645,0.7063574202184967,0.38488701592261904,0.08216608033500972
H-Optimus-0,LungHist700,0.5,241,456,0.9452457426403928,0.657014946012284,0.3341180511773342,0.08492342793773902
H-Optimus-0,LungHist700,1.0,483,42,0.9637720379268856,0.7366257873884082,0.3144088020647287,0.06743530671421967
H-Optimus-0,LungHist700,1.0,483,123,0.9637720379268856,0.7366257873884082,0.3144088020647315,0.06743530671422027
H-Optimus-0,LungHist700,1.0,483,456,0.9637720379268856,0.7366257873884082,0.3144088020647347,0.06743530671422092
