model,dataset,fraction,n_samples,seed,auroc,f1,brier,ece
H-Optimus-0,MHIST,0.01,18,42,0.662916441563119,0.0,0.24872222621253665,0.14403694786833227
H-Optimus-0,MHIST,0.01,18,123,0.6091662164595714,0.0,0.2342844575910068,0.10721309809546127
H-Optimus-0,MHIST,0.01,18,456,0.7055600576265082,0.0,0.2621076859887179,0.1943630496884653
H-Optimus-0,MHIST,0.05,92,42,0.8203268503511615,0.0,0.2053613262895309,0.15599483033467146
H-Optimus-0,MHIST,0.05,92,123,0.7553169457950657,0.0,0.21839063018205093,0.1492429917812879
H-Optimus-0,MHIST,0.05,92,456,0.8036286691878263,0.0,0.21043268298348045,0.18158085918016334
H-Optimus-0,MHIST,0.1,184,42,0.8278408067711146,0.12467532467532468,0.1881145975697315,0.12161590086790083
H-Optimus-0,MHIST,0.1,184,123,0.7919277867819197,0.181360201511335,0.19445054361502834,0.1181751310419777
H-Optimus-0,MHIST,0.1,184,456,0.8084008643976228,0.0,0.20713853676186597,0.15810327021155168
H-Optimus-0,MHIST,0.25,462,42,0.8603457590491626,0.5048923679060665,0.16844291541287776,0.11528824708846483
H-Optimus-0,MHIST,0.25,462,123,0.8401089501170538,0.5353159851301115,0.1720014960821223,0.09524219307251752
H-Optimus-0,MHIST,0.25,462,456,0.822375292634612,0.49335863377609107,0.17573110417885218,0.08754222235517409
H-Optimus-0,MHIST,0.5,924,42,0.8731226364127499,0.6390728476821192,0.1551515059682624,0.11013590195223179
H-Optimus-0,MHIST,0.5,924,123,0.8713443183864578,0.6205733558178752,0.15590039963340535,0.10656591479247793
H-Optimus-0,MHIST,0.5,924,456,0.8575589771294797,0.6351791530944625,0.15873932296122978,0.08837456084445858
H-Optimus-0,MHIST,1.0,1849,42,0.8848370250315145,0.6956521739130435,0.14257676565100932,0.08425990515625455
H-Optimus-0,MHIST,1.0,1849,123,0.8848370250315145,0.6956521739130435,0.1425767656509438,0.08425990515620527
H-Optimus-0,MHIST,1.0,1849,456,0.8848370250315145,0.6956521739130435,0.142576765651004,0.08425990515625043
