fraction,seed,auroc,ece,f1,brier
0.01,42,0.6088445457179307,0.22239991870903708,0.4618254879448909,0.16995241961509513
0.01,123,0.6446283052449333,0.19415856115040472,0.4618254879448909,0.15735481645747593
0.01,456,0.5035062553447012,0.22963122184746215,0.4618254879448909,0.17435458039049975
0.05,42,0.6115125153623648,0.2819234351011694,0.49481028868204713,0.19913336174305774
0.05,123,0.4901623912952051,0.19061656188499945,0.4623117621395991,0.15912795206036262
0.05,456,0.520961048811432,0.19414880317188482,0.4622922320431379,0.16022329936591687
0.1,42,0.5198933863558834,0.2543675218849692,0.488453040163379,0.1882138701045557
0.1,123,0.5057070382411903,0.18425457015525226,0.4704651963250285,0.15725564103138276
0.1,456,0.5040535030864919,0.16821218406158508,0.4641912402778181,0.15335873744378373
0.25,42,0.4705950171030435,0.2332025848033097,0.48562498113518904,0.18597926385805585
0.25,123,0.5425335986018496,0.18067434294848933,0.4997037899266753,0.15722572418679723
0.25,456,0.4540603957064818,0.18353307483498002,0.4570656730706197,0.1700443708337779
0.5,42,0.4773309468123385,0.19792878711833783,0.4809096672335704,0.176290309688251
0.5,123,0.5191067222904995,0.19939229180463514,0.4843274753892337,0.1742739984716011
0.5,456,0.4992576925727931,0.18553780546946896,0.4645876752983701,0.17365165720749562
1.0,42,0.5009205371453805,0.2195647850824429,0.45713093190155707,0.19896256322579003
1.0,123,0.5009205371453805,0.21956478508244134,0.45713093190155707,0.1989625632257893
1.0,456,0.5009205371453805,0.21956478508244234,0.45713093190155707,0.19896256322578967
