fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement
0.01,42,2.7082207145199404,0.21019802353294664,0.04459865234742012,0.16559937118552653
0.01,123,2.885941230684765,0.21877466874254006,0.03075197596707732,0.18802269277546274
0.01,456,2.5540650978727326,0.20017595150862327,0.04902264132392584,0.15115331018469744
0.05,42,3.4894867469987374,0.24477064114454614,0.034489259366984784,0.21028138177756134
0.05,123,3.5293050998873112,0.24919136690760396,0.042049875366812664,0.2071414915407913
0.05,456,3.4266273354861827,0.24141834958232483,0.028482722248970013,0.2129356273333548
0.1,42,3.79428851517146,0.25445144509738393,0.04158023884831387,0.21287120624907008
0.1,123,3.753157725378254,0.2545869301518288,0.04466698995306234,0.20991994019876647
0.1,456,3.8722492369710144,0.256234722575494,0.03307172191250282,0.2231630006629912
0.25,42,4.333920657349423,0.2639336595483513,0.020881236344204107,0.2430524232041472
0.25,123,4.357046677635587,0.2643135003855542,0.034370969594054356,0.22994253079149982
0.25,456,4.350816728531823,0.26402071032446967,0.03109085947122662,0.23292985085324305
0.5,42,4.86432343104448,0.2690076140211723,0.0315328460607824,0.23747476796038988
0.5,123,4.691167502722746,0.2678794287999189,0.021804888315440776,0.2460745404844781
0.5,456,4.821021030308308,0.2693461462993334,0.03874387529954494,0.23060227099978847
1.0,42,5.2793927727610335,0.2716569637948551,0.03796172366921423,0.23369524012564086
1.0,123,5.279392772778661,0.27165696379485516,0.037961723669429764,0.2336952401254254
1.0,456,5.279392772778655,0.271656963794855,0.03796172366942982,0.23369524012542517
