model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
H-Optimus-0,SPIDER-Breast,0.01,687,42,0.9922717746348639,0.8236002673024049,0.46016125508381595,0.024753890978143026
H-Optimus-0,SPIDER-Breast,0.01,687,123,0.9911188458427994,0.8045314226296643,0.4460332926647464,0.025770414103274943
H-Optimus-0,SPIDER-Breast,0.01,687,456,0.9912561686665841,0.8059965367785502,0.4683887937763036,0.027538804721651152
H-Optimus-0,SPIDER-Breast,0.05,3436,42,0.9950078132649361,0.8692295443049548,0.21585227000905163,0.011933215662360398
H-Optimus-0,SPIDER-Breast,0.05,3436,123,0.9945376860359504,0.8667045976716606,0.22203935650901035,0.012517471498323586
H-Optimus-0,SPIDER-Breast,0.05,3436,456,0.9945721238204384,0.8732205945752551,0.22791785720041555,0.012297861239599287
H-Optimus-0,SPIDER-Breast,0.1,6873,42,0.9952318435793343,0.8738945978208071,0.14297118761766991,0.009713910945074138
H-Optimus-0,SPIDER-Breast,0.1,6873,123,0.9948891231348388,0.8704795318896283,0.14617141047399482,0.010142657305254925
H-Optimus-0,SPIDER-Breast,0.1,6873,456,0.9950020646682837,0.8750973655749814,0.14468225468760035,0.009846152221242414
H-Optimus-0,SPIDER-Breast,0.25,17182,42,0.9956489672723775,0.883465658885111,0.08166169037764777,0.008048539555544165
H-Optimus-0,SPIDER-Breast,0.25,17182,123,0.9953388683991322,0.8814358254621325,0.08015745144011902,0.008143237373898186
H-Optimus-0,SPIDER-Breast,0.25,17182,456,0.9954100461158135,0.8822155948187314,0.08540808061622471,0.008271108494853324
H-Optimus-0,SPIDER-Breast,0.5,34365,42,0.9957193259285044,0.8863018153946527,0.048409935965123226,0.007462426665454667
H-Optimus-0,SPIDER-Breast,0.5,34365,123,0.9955660243588836,0.8873926583556753,0.04989770571680412,0.007486309021596201
H-Optimus-0,SPIDER-Breast,0.5,34365,456,0.9956274872559363,0.8862407396169886,0.04741420386905641,0.007455807253339491
H-Optimus-0,SPIDER-Breast,1.0,68730,42,0.9956255660731291,0.8881088143746657,0.025403966096490822,0.007227539706821339
H-Optimus-0,SPIDER-Breast,1.0,68730,123,0.9956255660731291,0.8881088143746657,0.025403966074228096,0.007227539706250734
H-Optimus-0,SPIDER-Breast,1.0,68730,456,0.9956255660731291,0.8881088143746657,0.025403965896145356,0.007227539702173606
