model,dataset,fraction,n_samples,seed,auroc,f1,brier,ece
H-Optimus-0,PCam,0.01,2621,42,0.9812348525245032,0.9240660965730084,0.05696382835588881,0.06607849534878
H-Optimus-0,PCam,0.01,2621,123,0.9835686132120417,0.9261067917496627,0.05517210983169156,0.0757489598198734
H-Optimus-0,PCam,0.01,2621,456,0.9824350034420013,0.9237581825182903,0.05660826296212909,0.07154773815822872
H-Optimus-0,PCam,0.05,13107,42,0.9844105923031234,0.9339991037705653,0.04814796354658558,0.040300861493959235
H-Optimus-0,PCam,0.05,13107,123,0.9850865165488396,0.9338159917990774,0.04773306714698472,0.04201342802682376
H-Optimus-0,PCam,0.05,13107,456,0.9856753881949708,0.9362502790445515,0.04631260207253622,0.04035100555818069
H-Optimus-0,PCam,0.1,26214,42,0.9839958631090718,0.9349154060191256,0.047511253591850225,0.03297410538364
H-Optimus-0,PCam,0.1,26214,123,0.9856906060086179,0.9372825635951614,0.04543553503722389,0.03447474318129072
H-Optimus-0,PCam,0.1,26214,456,0.9857700366628608,0.9387872218325576,0.04506310303869572,0.03263181125517325
H-Optimus-0,PCam,0.25,65536,42,0.9829587942547383,0.935024177794857,0.0473706325314239,0.03501044256161207
H-Optimus-0,PCam,0.25,65536,123,0.9849179061538629,0.9386530481966167,0.0453668134394708,0.03315073793396036
H-Optimus-0,PCam,0.25,65536,456,0.9855790856978862,0.9411502877309,0.04440690938859064,0.03140540339346169
H-Optimus-0,PCam,0.5,131072,42,0.9841448598470469,0.9376896298425473,0.04606394336509066,0.0357242308069138
H-Optimus-0,PCam,0.5,131072,123,0.9841180712796208,0.9391792711723785,0.045407774323777315,0.034073243727348136
H-Optimus-0,PCam,0.5,131072,456,0.9832058220248121,0.9371706008240969,0.0466529729482488,0.03543623212469233
H-Optimus-0,PCam,1.0,262144,42,0.9821887579830332,0.9361389146493556,0.04755152466286078,0.0365875818552592
H-Optimus-0,PCam,1.0,262144,123,0.9821887579830333,0.9361389146493556,0.04755152466286082,0.03658758185525916
H-Optimus-0,PCam,1.0,262144,456,0.9821887579830332,0.9361389146493556,0.04755152466286118,0.03658758185525977
