model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
MIDNIGHT,BRACS,0.01,36,42,0.7361375994617705,0.2588825539057994,0.03626297127266517,0.11578914305760077
MIDNIGHT,BRACS,0.01,36,123,0.7487819675692239,0.22652010818280813,0.11541146384564921,0.11192985916994609
MIDNIGHT,BRACS,0.01,36,456,0.7660045027242203,0.17627208479254491,0.030564250426539236,0.11835691638099745
MIDNIGHT,BRACS,0.05,182,42,0.8176330647309012,0.42744584833574856,0.10906656893290982,0.09752568645972252
MIDNIGHT,BRACS,0.05,182,123,0.8236735377207243,0.3496429250990451,0.088150968090824,0.098943930355808
MIDNIGHT,BRACS,0.05,182,456,0.8249351098326982,0.45047354826435876,0.12520033988411883,0.09558397947171739
MIDNIGHT,BRACS,0.1,365,42,0.8402568663902155,0.4544354472400443,0.08258177102879329,0.09099271047477142
MIDNIGHT,BRACS,0.1,365,123,0.8454903074679578,0.3845792215210445,0.087014490587033,0.09248554966949431
MIDNIGHT,BRACS,0.1,365,456,0.8481964350190342,0.4551575958355758,0.09931028065589503,0.08912209217591069
MIDNIGHT,BRACS,0.25,914,42,0.8655268430507218,0.5423214553873691,0.09788943385302104,0.08352952120352623
MIDNIGHT,BRACS,0.25,914,123,0.8788966421920643,0.4858625509667952,0.06407125666044441,0.0850793115298231
MIDNIGHT,BRACS,0.25,914,456,0.870974279487996,0.4925679347087394,0.06936299254917987,0.08366071734374235
MIDNIGHT,BRACS,0.5,1828,42,0.881436048294315,0.5431082914786929,0.07453315348888707,0.07927585886082279
MIDNIGHT,BRACS,0.5,1828,123,0.8869894181330598,0.5246255901618299,0.08354650685921891,0.07874303451126365
MIDNIGHT,BRACS,0.5,1828,456,0.8831908786684525,0.5260471172519958,0.05586124751226084,0.08019318673793795
MIDNIGHT,BRACS,1.0,3657,42,0.8920914360615793,0.5613119866447086,0.07196549473206301,0.07579110779147388
MIDNIGHT,BRACS,1.0,3657,123,0.8920914360615793,0.5613119866447086,0.07196549472972572,0.07579110779101468
MIDNIGHT,BRACS,1.0,3657,456,0.8920914360615793,0.5613119866447086,0.07196549473962867,0.07579110779295818
