model,dataset,fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement,auroc,brier_raw,brier_scaled
MIDNIGHT,BRACS,0.01,42,1.3913714507560044,0.03626297127266517,0.041172749177221225,-0.004909777904556052,0.7361375994617705,0.11578914305760077,0.11615191069603277
MIDNIGHT,BRACS,0.01,123,1.2010473365987964,0.11541146384564921,0.11585441964678393,-0.0004429558011347229,0.7487819675692239,0.11192985916994609,0.11256487423739221
MIDNIGHT,BRACS,0.01,456,1.378638569335517,0.030564250426539236,0.02370686481866337,0.006857385607875865,0.7660045027242203,0.11835691638099745,0.11852216476494914
MIDNIGHT,BRACS,0.05,42,0.8021799722869037,0.10906656893290982,0.06748664927867279,0.04157991965423703,0.8176330647309012,0.09752568645972252,0.09540618452478856
MIDNIGHT,BRACS,0.05,123,1.1300153572357425,0.088150968090824,0.08269665608413153,0.005454312006692469,0.8236735377207243,0.098943930355808,0.09963140993154415
MIDNIGHT,BRACS,0.05,456,0.736086388040147,0.12520033988411883,0.04552562640437136,0.07967471347974747,0.8249351098326982,0.09558397947171739,0.09250538596239322
MIDNIGHT,BRACS,0.1,42,0.9439355730661573,0.08258177102879329,0.0653788084216797,0.017202962607113584,0.8402568663902155,0.09099271047477142,0.0905556170803885
MIDNIGHT,BRACS,0.1,123,1.0442029167295912,0.087014490587033,0.09356182483533826,-0.006547334248305253,0.8454903074679578,0.09248554966949431,0.09271109153027471
MIDNIGHT,BRACS,0.1,456,0.8500312476881895,0.09931028065589503,0.09268087911419315,0.006629401541701885,0.8481964350190342,0.08912209217591069,0.0876844723480369
MIDNIGHT,BRACS,0.25,42,0.9069414668117861,0.09788943385302104,0.06645405524264,0.03143537861038104,0.8655268430507218,0.08352952120352623,0.08274621158935878
MIDNIGHT,BRACS,0.25,123,0.9734333734769373,0.06407125666044441,0.0529170883021243,0.011154168358320116,0.8788966421920643,0.0850793115298231,0.08494060911948888
MIDNIGHT,BRACS,0.25,456,0.9169910880190643,0.06936299254917987,0.03682327086311151,0.032539721686068356,0.870974279487996,0.08366071734374235,0.08326771222863617
MIDNIGHT,BRACS,0.5,42,0.9480686540779251,0.07453315348888707,0.054644983193999824,0.01988817029488725,0.881436048294315,0.07927585886082279,0.07897443199963597
MIDNIGHT,BRACS,0.5,123,0.9235935923620298,0.08354650685921891,0.07617701050968877,0.007369496349530144,0.8869894181330598,0.07874303451126365,0.07830869551863336
MIDNIGHT,BRACS,0.5,456,0.9679569998647597,0.05586124751226084,0.05414008730371027,0.001721160208550572,0.8831908786684525,0.08019318673793795,0.08009344850237353
MIDNIGHT,BRACS,1.0,42,0.9838519593591784,0.07196549473206301,0.07263297721226336,-0.0006674824802003487,0.8920914360615793,0.07579110779147388,0.07573497102987894
MIDNIGHT,BRACS,1.0,123,0.9838519593622459,0.07196549472972572,0.0726329772112115,-0.0006674824814857788,0.8920914360615793,0.07579110779101468,0.07573497102942774
MIDNIGHT,BRACS,1.0,456,0.9838519593483754,0.07196549473962867,0.07263297721559303,-0.0006674824759643622,0.8920914360615793,0.07579110779295818,0.07573497103133461
