model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
MIDNIGHT,CRC,0.01,700,42,0.9980883087845034,0.9619810934186164,0.17819296129544349,0.011959386875240416
MIDNIGHT,CRC,0.01,700,123,0.9982569283573572,0.9629666132015764,0.1793510451715402,0.01204839446193332
MIDNIGHT,CRC,0.01,700,456,0.9982938508498438,0.961990411973232,0.1762276834041994,0.011831784671550162
MIDNIGHT,CRC,0.05,3500,42,0.9988251619672393,0.9746541307629296,0.06649623532658679,0.005727837369545173
MIDNIGHT,CRC,0.05,3500,123,0.9987719874694605,0.9751882531119406,0.06727223494514772,0.005673888191607215
MIDNIGHT,CRC,0.05,3500,456,0.9988893326623521,0.9740855788580135,0.06430223887108777,0.005667329569275537
MIDNIGHT,CRC,0.1,7000,42,0.999109129895328,0.9790304116537969,0.04383701597560098,0.0045014540934759355
MIDNIGHT,CRC,0.1,7000,123,0.9991164027128698,0.9785050929154026,0.04374613223156473,0.004486773864150895
MIDNIGHT,CRC,0.1,7000,456,0.9990790216070145,0.9781623774150575,0.04216729648611635,0.004479364012335054
MIDNIGHT,CRC,0.25,17500,42,0.9994329605713373,0.9819173671550008,0.024636043269399336,0.0034578206052852836
MIDNIGHT,CRC,0.25,17500,123,0.9994468452036637,0.982733217662877,0.026503240311349652,0.0034244069219945506
MIDNIGHT,CRC,0.25,17500,456,0.9994175646725927,0.9826574053548485,0.02476801440698642,0.003431616515528819
MIDNIGHT,CRC,0.5,35000,42,0.9995937656188251,0.9848577776049778,0.016651794432650288,0.0028243125583557478
MIDNIGHT,CRC,0.5,35000,123,0.9995548320811749,0.9843428339676221,0.017519044992162957,0.002896265740739578
MIDNIGHT,CRC,0.5,35000,456,0.9996014998812228,0.9855228175983319,0.017516926145224637,0.0028001605512422067
MIDNIGHT,CRC,1.0,70000,42,0.9996967099917167,0.9875221124604633,0.012732123666239136,0.002355384965763084
MIDNIGHT,CRC,1.0,70000,123,0.9996967099917167,0.9875221124604633,0.01273212366588111,0.0023553849657864012
MIDNIGHT,CRC,1.0,70000,456,0.9996967099917167,0.9875221124604633,0.012732123664759808,0.002355384965864205
