model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
MIDNIGHT,LungHist700,0.01,7,42,0.7460601597330153,0.400326296510507,0.2414231781328289,0.11807176398065246
MIDNIGHT,LungHist700,0.01,7,123,0.7585723048605376,0.3628021543545648,0.18608066086543568,0.11674295958526493
MIDNIGHT,LungHist700,0.01,7,456,0.7294678850185808,0.3393926610504642,0.19412010263885085,0.11816882144329348
MIDNIGHT,LungHist700,0.05,24,42,0.8163483018577183,0.21328320802005013,0.14917202290191328,0.11409959637759395
MIDNIGHT,LungHist700,0.05,24,123,0.8384319237790386,0.25606727398663687,0.1352493439487418,0.1065903562549461
MIDNIGHT,LungHist700,0.05,24,456,0.8091824322766479,0.2536002809975412,0.18078877270833135,0.11060036275490627
MIDNIGHT,LungHist700,0.1,48,42,0.8343943586383015,0.3791997476208003,0.14854039497074115,0.10016465392093561
MIDNIGHT,LungHist700,0.1,48,123,0.8636454196840757,0.3665474203677746,0.1258051238902867,0.1003735335014541
MIDNIGHT,LungHist700,0.1,48,456,0.8773740642106941,0.3162234590806019,0.15796470053805264,0.10014228337968108
MIDNIGHT,LungHist700,0.25,120,42,0.9035601601490896,0.48471408939389243,0.19653715735471167,0.08804539730916648
MIDNIGHT,LungHist700,0.25,120,123,0.9273483601638002,0.5520421871442684,0.2114820699381579,0.08428976763165394
MIDNIGHT,LungHist700,0.25,120,456,0.9086471219198344,0.49345677992294534,0.14116294729758647,0.08757553288216126
MIDNIGHT,LungHist700,0.5,241,42,0.9308319327318043,0.5734542988695609,0.130286469782213,0.07556502977178821
MIDNIGHT,LungHist700,0.5,241,123,0.9310232707869535,0.6556171488434929,0.23526842947140503,0.07378118347403095
MIDNIGHT,LungHist700,0.5,241,456,0.9289317710335444,0.5506023506023505,0.1571916789370302,0.0774306282861869
MIDNIGHT,LungHist700,1.0,483,42,0.9460658957717402,0.68089805558137,0.19460740867460444,0.06354980088398347
MIDNIGHT,LungHist700,1.0,483,123,0.9460658957717402,0.68089805558137,0.19460740867460405,0.06354980088398345
MIDNIGHT,LungHist700,1.0,483,456,0.9460658957717402,0.68089805558137,0.19460740867460422,0.06354980088398346
