model,dataset,fraction,n_samples,seed,auroc,f1,brier,ece
MIDNIGHT,MHIST,0.01,18,42,0.5030569061768413,0.0,0.25472066715110325,0.14741894957255597
MIDNIGHT,MHIST,0.01,18,123,0.545520439402125,0.0,0.23914656465210418,0.08956187655985848
MIDNIGHT,MHIST,0.01,18,456,0.5882585989555196,0.0,0.2707719056312424,0.1985567247211183
MIDNIGHT,MHIST,0.05,92,42,0.6317666126418153,0.0,0.2335891114960675,0.09154415091264367
MIDNIGHT,MHIST,0.05,92,123,0.5677021429857735,0.0,0.23896656871591007,0.09635307625144944
MIDNIGHT,MHIST,0.05,92,456,0.6407887628309021,0.0,0.23669840069436035,0.11598978342747861
MIDNIGHT,MHIST,0.1,184,42,0.6643886187646316,0.0,0.22543228462694131,0.11304528374327344
MIDNIGHT,MHIST,0.1,184,123,0.6130695119755087,0.0,0.22842442569882979,0.07665278434434518
MIDNIGHT,MHIST,0.1,184,456,0.606856654060868,0.0,0.23727548099049087,0.11520445920588578
MIDNIGHT,MHIST,0.25,462,42,0.6806771114712769,0.15158924205378974,0.21961019651863758,0.0981354894048957
MIDNIGHT,MHIST,0.25,462,123,0.682378894291374,0.15421686746987953,0.2145381038071918,0.06896986386738191
MIDNIGHT,MHIST,0.25,462,456,0.6558121735998559,0.11940298507462686,0.21940568115138903,0.0703186489692857
MIDNIGHT,MHIST,0.5,924,42,0.7170538447685935,0.16666666666666666,0.20971329055243065,0.09402396248367194
MIDNIGHT,MHIST,0.5,924,123,0.7170943634071674,0.2292134831460674,0.20817071621280192,0.07949341188172768
MIDNIGHT,MHIST,0.5,924,456,0.7015397082658023,0.22323462414578588,0.20991805194150465,0.08323348529692809
MIDNIGHT,MHIST,1.0,1849,42,0.7383261300198092,0.3037974683544304,0.20108049278599646,0.0825294760265743
MIDNIGHT,MHIST,1.0,1849,123,0.7383261300198092,0.3037974683544304,0.20108049278599652,0.08252947602657436
MIDNIGHT,MHIST,1.0,1849,456,0.7383261300198092,0.3037974683544304,0.20108049278599638,0.08252947602657437
