model,dataset,fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement,auroc,brier_raw,brier_scaled
MIDNIGHT,MHIST,0.01,42,3.313767970495863,0.14741894957255597,0.05000628045939038,0.0974126691131656,0.5030569061768413,0.25472066715110325,0.23540054907283586
MIDNIGHT,MHIST,0.01,123,2.3741905296459005,0.08956187655985848,0.06594050987630012,0.023621366683558354,0.545520439402125,0.23914656465210418,0.2346739471757717
MIDNIGHT,MHIST,0.01,456,4.230952015969461,0.1985567247211183,0.052251345347005096,0.1463053793741132,0.5882585989555196,0.2707719056312424,0.23404818932389887
MIDNIGHT,MHIST,0.05,42,2.312128560218972,0.09154415091264367,0.06628256437962587,0.0252615865330178,0.6317666126418153,0.2335891114960675,0.22996475996036414
MIDNIGHT,MHIST,0.05,123,2.4570888046351556,0.09635307625144944,0.0606817233010751,0.03567135295037434,0.5677021429857735,0.23896656871591007,0.2332044713723733
MIDNIGHT,MHIST,0.05,456,2.4385479853198126,0.11598978342747861,0.09124421921772184,0.024745564209756765,0.6407887628309021,0.23669840069436035,0.23099975513558824
MIDNIGHT,MHIST,0.1,42,1.8937068899932428,0.11304528374327344,0.105231371341307,0.007813912401966439,0.6643886187646316,0.22543228462694131,0.22661830099825803
MIDNIGHT,MHIST,0.1,123,1.9270018910530926,0.07665278434434518,0.0833366030325171,-0.006683818688171916,0.6130695119755087,0.22842442569882979,0.2292056487756109
MIDNIGHT,MHIST,0.1,456,2.5667176385168746,0.11520445920588578,0.10298657123456606,0.012217887971319716,0.606856654060868,0.23727548099049087,0.22998583340359863
MIDNIGHT,MHIST,0.25,42,2.0368023504084904,0.0981354894048957,0.09553191580861187,0.0026035735962838397,0.6806771114712769,0.21961019651863758,0.21917926605164056
MIDNIGHT,MHIST,0.25,123,1.6866808289620847,0.06896986386738191,0.08304362442348968,-0.014073760556107776,0.682378894291374,0.2145381038071918,0.21680356102854795
MIDNIGHT,MHIST,0.25,456,1.838392021566023,0.0703186489692857,0.07204047444809147,-0.001721825478805769,0.6558121735998559,0.21940568115138903,0.2208508670317356
MIDNIGHT,MHIST,0.5,42,1.7857540336721793,0.09402396248367194,0.10609018720519271,-0.012066224721520774,0.7170538447685935,0.20971329055243065,0.21181211034635541
MIDNIGHT,MHIST,0.5,123,1.7489593443721754,0.07949341188172768,0.09197463215833117,-0.012481220276603491,0.7170943634071674,0.20817071621280192,0.21034918705829136
MIDNIGHT,MHIST,0.5,456,1.7815164502357932,0.08323348529692809,0.08990963213324459,-0.006676146836316496,0.7015397082658023,0.20991805194150465,0.2117860071928366
MIDNIGHT,MHIST,1.0,42,1.712834488959341,0.0825294760265743,0.09262124524834595,-0.010091769221771643,0.7383261300198092,0.20108049278599646,0.2033985016842542
MIDNIGHT,MHIST,1.0,123,1.7128344889591667,0.08252947602657436,0.0926212452483547,-0.010091769221780345,0.7383261300198092,0.20108049278599652,0.20339850168425622
MIDNIGHT,MHIST,1.0,456,1.712834488959324,0.08252947602657437,0.09262124524834685,-0.010091769221772476,0.7383261300198092,0.20108049278599638,0.20339850168425427
