model,dataset,fraction,n_samples,seed,auroc,f1,brier,ece
MIDNIGHT,PCam,0.01,2621,42,0.9519713954873323,0.872714044776613,0.08724278384867543,0.054430728864000404
MIDNIGHT,PCam,0.01,2621,123,0.9428204752437893,0.8702401486002388,0.0919077097591261,0.0560700952873076
MIDNIGHT,PCam,0.01,2621,456,0.9399750346644845,0.8634865683565793,0.0956907430648346,0.05623331647124557
MIDNIGHT,PCam,0.05,13107,42,0.9570412743651213,0.8900275916436736,0.0775602472494158,0.047771366435901096
MIDNIGHT,PCam,0.05,13107,123,0.9540265118602631,0.8871260948603537,0.08041608074828174,0.053626065007751245
MIDNIGHT,PCam,0.05,13107,456,0.9522572556905655,0.8845861556253097,0.08171514785603523,0.052013123194233346
MIDNIGHT,PCam,0.1,26214,42,0.9550715304855443,0.892803253952634,0.07680294881072952,0.04943074365365843
MIDNIGHT,PCam,0.1,26214,123,0.9556762159918791,0.8927066877303844,0.07657363705380621,0.050074648107292064
MIDNIGHT,PCam,0.1,26214,456,0.9565403866413197,0.8941423693196743,0.07625269787529765,0.050503308934214855
MIDNIGHT,PCam,0.25,65536,42,0.9539272067786498,0.896551724137931,0.07580273211865776,0.051032891772698215
MIDNIGHT,PCam,0.25,65536,123,0.9565612333696352,0.8974670652780972,0.07480848811126503,0.05329108448434158
MIDNIGHT,PCam,0.25,65536,456,0.955320268164177,0.8957711361175814,0.07601825614404487,0.05308613554330412
MIDNIGHT,PCam,0.5,131072,42,0.9550542041572035,0.8986931315711899,0.07465142622012981,0.05385851754208995
MIDNIGHT,PCam,0.5,131072,123,0.9531565334821871,0.8993222669678813,0.07563236411876664,0.05310026737936029
MIDNIGHT,PCam,0.5,131072,456,0.9549890972467727,0.9003440930689824,0.07378776847110674,0.05437187404820496
MIDNIGHT,PCam,1.0,262144,42,0.9534379270615371,0.8996789201231898,0.07404909506364117,0.05580040072965577
MIDNIGHT,PCam,1.0,262144,123,0.9534379270615371,0.8996789201231898,0.07404909506364446,0.05580040072967042
MIDNIGHT,PCam,1.0,262144,456,0.9534379270615371,0.8996789201231898,0.07404909506364925,0.05580040072970441
