model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
MIDNIGHT,SPIDER-Breast,0.01,687,42,0.954694834050165,0.5789069880328482,0.2909549834037867,0.03176778275141548
MIDNIGHT,SPIDER-Breast,0.01,687,123,0.9497325483008081,0.5502538693706374,0.2627034837940392,0.033166018045370414
MIDNIGHT,SPIDER-Breast,0.01,687,456,0.9514596354290626,0.5987986309509361,0.30452825419028423,0.03381470269122521
MIDNIGHT,SPIDER-Breast,0.05,3436,42,0.9735719263623412,0.688345223915377,0.18616966029471466,0.021486340766159424
MIDNIGHT,SPIDER-Breast,0.05,3436,123,0.9753996092308168,0.6985547847528879,0.19565912698905705,0.021787188215652693
MIDNIGHT,SPIDER-Breast,0.05,3436,456,0.9742390235680356,0.6995429563411998,0.19375541650331277,0.021410421386955283
MIDNIGHT,SPIDER-Breast,0.1,6873,42,0.9793978134794418,0.7264959699927549,0.14762457436187645,0.018473692804975156
MIDNIGHT,SPIDER-Breast,0.1,6873,123,0.9796703371899061,0.7297936641669012,0.14827422720732264,0.018694183654007764
MIDNIGHT,SPIDER-Breast,0.1,6873,456,0.9790720965413454,0.7308095852478471,0.1505900187175151,0.01847314680522539
MIDNIGHT,SPIDER-Breast,0.25,17182,42,0.9849489221146404,0.7710459499496468,0.10651986555129016,0.015243637378519137
MIDNIGHT,SPIDER-Breast,0.25,17182,123,0.9846783983221074,0.7681778860615256,0.10461115255753699,0.015492692007917003
MIDNIGHT,SPIDER-Breast,0.25,17182,456,0.9842711789496098,0.7620793141170741,0.104078465791127,0.015752534029427286
MIDNIGHT,SPIDER-Breast,0.5,34365,42,0.9870906063580731,0.7895536413014581,0.07637220943875936,0.013866202295950794
MIDNIGHT,SPIDER-Breast,0.5,34365,123,0.9869537865479343,0.7920307323942498,0.07707036361976692,0.013793582803358273
MIDNIGHT,SPIDER-Breast,0.5,34365,456,0.987294673032205,0.7937345438843862,0.08015412749306394,0.013732907554982724
MIDNIGHT,SPIDER-Breast,1.0,68730,42,0.9890105984946261,0.8135467624910857,0.05686806862856753,0.012481159570526375
MIDNIGHT,SPIDER-Breast,1.0,68730,123,0.9890101826245677,0.813495087483807,0.056774073806902935,0.012480831370779643
MIDNIGHT,SPIDER-Breast,1.0,68730,456,0.9890082935946077,0.8134921050118957,0.05679492942039708,0.012482719611874284
