model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
PLIP,BRACS,0.01,36,42,0.7367608705387756,0.08746863091365369,0.07891929816725006,0.12325252956639396
PLIP,BRACS,0.01,36,123,0.7189673587936533,0.21956583819169798,0.10930839741724153,0.1211427667328149
PLIP,BRACS,0.01,36,456,0.7529558704379822,0.0570436507936508,0.1148303123988129,0.12381426860584042
PLIP,BRACS,0.05,182,42,0.7903121701054766,0.3798602826415296,0.19601106554479839,0.10985666645648748
PLIP,BRACS,0.05,182,123,0.7910566452088909,0.25754918896776025,0.13858973173847458,0.10914231387723292
PLIP,BRACS,0.05,182,456,0.7976454228434209,0.3772539813215297,0.2099669648114963,0.10787464315705829
PLIP,BRACS,0.1,365,42,0.8126250794893476,0.41517632458991116,0.16142945771266656,0.10151454306352471
PLIP,BRACS,0.1,365,123,0.7923806438603455,0.2983772534424682,0.10825283327651901,0.10320924231378485
PLIP,BRACS,0.1,365,456,0.8008554993571153,0.3984644996724853,0.15429235569489969,0.10218769712577201
PLIP,BRACS,0.25,914,42,0.8315092958837569,0.46281023142093,0.1331720126163222,0.0933022707268274
PLIP,BRACS,0.25,914,123,0.836578630493842,0.3916730679501125,0.07863114294555465,0.0956067248067496
PLIP,BRACS,0.25,914,456,0.8324406988483197,0.4525435415532043,0.11543834342527476,0.09341575352724583
PLIP,BRACS,0.5,1828,42,0.8452851409526402,0.4948171615684365,0.10034965149251587,0.08923760533671328
PLIP,BRACS,0.5,1828,123,0.8471092197675656,0.46402934835241716,0.08101990001090345,0.08943429767597519
PLIP,BRACS,0.5,1828,456,0.8443925300265444,0.4635416628343713,0.07929320217017212,0.08944734928928495
PLIP,BRACS,1.0,3657,42,0.856587673169057,0.49787745992685645,0.058777193746586576,0.08584306072917229
PLIP,BRACS,1.0,3657,123,0.856587673169057,0.49787745992685645,0.058777193779924394,0.08584306073347141
PLIP,BRACS,1.0,3657,456,0.856587673169057,0.49787745992685645,0.058777193752783695,0.08584306072997164
