model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
PLIP,CRC,0.01,700,42,0.9954085586741689,0.9258232222496444,0.28256131368100584,0.0243780633738678
PLIP,CRC,0.01,700,123,0.9957987801308614,0.930828398594861,0.28694719942609614,0.024040840661296855
PLIP,CRC,0.01,700,456,0.9955606878846024,0.9323173247582593,0.2849915940712218,0.023755166005846443
PLIP,CRC,0.05,3500,42,0.9976786090100571,0.9527337189975825,0.12797682505778513,0.01128712273838951
PLIP,CRC,0.05,3500,123,0.997689923229038,0.9545605865148175,0.12903900507330185,0.011177230756641822
PLIP,CRC,0.05,3500,456,0.9976556497245271,0.9534905298763595,0.12704963684766324,0.0112011781818906
PLIP,CRC,0.1,7000,42,0.9982336207630712,0.9604284271485365,0.09028611077820994,0.008656645161637003
PLIP,CRC,0.1,7000,123,0.9982065549885003,0.9609148880766614,0.09054754704093539,0.008676211321776017
PLIP,CRC,0.1,7000,456,0.9981234973294097,0.9602859345426799,0.08755271219314152,0.00865742815370555
PLIP,CRC,0.25,17500,42,0.998668585224854,0.9673875057024751,0.05423631291343695,0.006506618978178049
PLIP,CRC,0.25,17500,123,0.9986720371515572,0.9685493443879523,0.05700270054637223,0.006412795996843242
PLIP,CRC,0.25,17500,456,0.9986515913504207,0.9677354149898318,0.055306114711038766,0.006429563381679739
PLIP,CRC,0.5,35000,42,0.9989285423692696,0.9718337421439451,0.03883394554937995,0.0053118381561869914
PLIP,CRC,0.5,35000,123,0.9989279467040322,0.972305542783563,0.03978514049104701,0.005270870642319769
PLIP,CRC,0.5,35000,456,0.9989621273349572,0.9723635938079779,0.038734330680604244,0.005251376663032404
PLIP,CRC,1.0,70000,42,0.9991666117025451,0.9764289649175759,0.028127211320974666,0.004352374545612862
PLIP,CRC,1.0,70000,123,0.9991666117025451,0.9764289649175759,0.028127211275457597,0.0043523745358834635
PLIP,CRC,1.0,70000,456,0.9991666117025451,0.9764289649175759,0.028127211321066943,0.0043523745455816675
