model,dataset,fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement,auroc,brier_raw,brier_scaled
PLIP,CRC,0.01,42,0.3283638078042183,0.28256131368100584,0.0055349477143139285,0.2770263659666919,0.9954085586741689,0.0243780633738678,0.011958428881880782
PLIP,CRC,0.01,123,0.32494305493013936,0.28694719942609614,0.0053588570862465705,0.2815883423398496,0.9957987801308614,0.024040840661296855,0.011252122924687594
PLIP,CRC,0.01,456,0.3288611916580107,0.2849915940712218,0.0038186804415401136,0.2811729136296817,0.9955606878846024,0.023755166005846443,0.011195777362338724
PLIP,CRC,0.05,42,0.4537976268482624,0.12797682505778513,0.0041429492525042015,0.12383387580528092,0.9976786090100571,0.01128712273838951,0.00774772931743847
PLIP,CRC,0.05,123,0.44906412050359973,0.12903900507330185,0.0036985275875007274,0.12534047748580113,0.997689923229038,0.011177230756641822,0.007611852061714277
PLIP,CRC,0.05,456,0.4569216879676454,0.12704963684766324,0.0024633702708215756,0.12458626657684166,0.9976556497245271,0.0112011781818906,0.007733983258626091
PLIP,CRC,0.1,42,0.5016871303981242,0.09028611077820994,0.0028171947140322924,0.08746891606417766,0.9982336207630712,0.008656645161637003,0.006571731446721688
PLIP,CRC,0.1,123,0.4987330753803811,0.09054754704093539,0.0017687289406583858,0.088778818100277,0.9982065549885003,0.008676211321776017,0.006583115438866096
PLIP,CRC,0.1,456,0.5137544507317165,0.08755271219314152,0.0030004153734515663,0.08455229681968995,0.9981234973294097,0.00865742815370555,0.006716013441460209
PLIP,CRC,0.25,42,0.5748524320442711,0.05423631291343695,0.00206793764634803,0.05216837526708892,0.998668585224854,0.006506618978178049,0.00554641556259709
PLIP,CRC,0.25,123,0.5656690478318618,0.05700270054637223,0.003526926531896613,0.05347577401447562,0.9986720371515572,0.006412795996843242,0.005361630724211978
PLIP,CRC,0.25,456,0.5714026226327562,0.055306114711038766,0.0034054539946673803,0.05190066071637139,0.9986515913504207,0.006429563381679739,0.005408466102799363
PLIP,CRC,0.5,42,0.6102488110101754,0.03883394554937995,0.00260613492857958,0.036227810620800376,0.9989285423692696,0.0053118381561869914,0.0047068505721838735
PLIP,CRC,0.5,123,0.6097003545451007,0.03978514049104701,0.0025194746734160858,0.037265665817630925,0.9989279467040322,0.005270870642319769,0.004643059773494821
PLIP,CRC,0.5,456,0.6135868307509429,0.038734330680604244,0.0016319055056787017,0.03710242517492554,0.9989621273349572,0.005251376663032404,0.004631696854808734
PLIP,CRC,1.0,42,0.6482915997679111,0.028127211320974666,0.0019242257859430777,0.02620298553503159,0.9991666117025451,0.004352374545612862,0.003956204873149192
PLIP,CRC,1.0,123,0.6482915993068229,0.028127211275457597,0.0019242257630018825,0.026202985512455715,0.9991666117025451,0.0043523745358834635,0.003956204863483822
PLIP,CRC,1.0,456,0.6482915997647365,0.028127211321066943,0.0019242257858123034,0.02620298553525464,0.9991666117025451,0.0043523745455816675,0.003956204873114597
