model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
PLIP,LungHist700,0.01,7,42,0.733576780580923,0.39610733182161756,0.3298217844869209,0.12018679564915148
PLIP,LungHist700,0.01,7,123,0.7863628908446382,0.3909999296656398,0.3112346602365012,0.12024860455933463
PLIP,LungHist700,0.01,7,456,0.8295815586209299,0.4037819913395951,0.3098582057899886,0.11985719219702982
PLIP,LungHist700,0.05,24,42,0.8397072844108878,0.17024534771463765,0.16233668086400088,0.12120417363440862
PLIP,LungHist700,0.05,24,123,0.8427296757759368,0.15014577259475217,0.10471941368422814,0.11506612196783582
PLIP,LungHist700,0.05,24,456,0.8506343191004019,0.15484688955651718,0.13067326209429966,0.11757047040371534
PLIP,LungHist700,0.1,48,42,0.8585565537419919,0.28058867741853294,0.15213342215426515,0.11212898310281513
PLIP,LungHist700,0.1,48,123,0.8731453637557481,0.264035964035964,0.12016596845757356,0.11113557257306825
PLIP,LungHist700,0.1,48,456,0.8796022541134844,0.17630878438331857,0.21552178815990103,0.11179443735225195
PLIP,LungHist700,0.25,120,42,0.8940977095486236,0.36420090071467026,0.13095614059603664,0.10086807258381693
PLIP,LungHist700,0.25,120,123,0.9127573357307054,0.49350889781199836,0.24639373731210412,0.0993814854489238
PLIP,LungHist700,0.25,120,456,0.9013570684583881,0.38196786300903124,0.16602252850745225,0.10046579637897987
PLIP,LungHist700,0.5,241,42,0.9003004852401474,0.4810153192202769,0.18553861919835488,0.09000295870324533
PLIP,LungHist700,0.5,241,123,0.9112978995010649,0.5975995197761595,0.2988578268029854,0.08703943048436634
PLIP,LungHist700,0.5,241,456,0.9047759034437127,0.44521773320184443,0.19884458163195232,0.09002739072580401
PLIP,LungHist700,1.0,483,42,0.9220359017533604,0.5968399763005977,0.22444859618403767,0.07708068054483608
PLIP,LungHist700,1.0,483,123,0.9220359017533604,0.5968399763005977,0.22444859618403762,0.07708068054483604
PLIP,LungHist700,1.0,483,456,0.9220359017533604,0.5968399763005977,0.22444859618403676,0.077080680544836
