model,dataset,fraction,n_samples,seed,auroc,f1,brier,ece
PLIP,MHIST,0.01,18,42,0.7099270664505671,0.0,0.24734962427378776,0.14932791091715322
PLIP,MHIST,0.01,18,123,0.6546956600036016,0.0,0.2327613690946863,0.11988849902320965
PLIP,MHIST,0.01,18,456,0.7582973167657123,0.0,0.26754851867063856,0.197768821397386
PLIP,MHIST,0.05,92,42,0.7811858454889249,0.0,0.21498415655538058,0.14804539115216184
PLIP,MHIST,0.05,92,123,0.7367459031154331,0.0,0.22479873015983098,0.1439003404324451
PLIP,MHIST,0.05,92,456,0.7798127138483704,0.0,0.2186069662385137,0.1770960885949996
PLIP,MHIST,0.1,184,42,0.7834188726814335,0.0,0.2039363684495111,0.1349129525959486
PLIP,MHIST,0.1,184,123,0.7670628489104989,0.011049723756906077,0.2052859133282858,0.14511492643707163
PLIP,MHIST,0.1,184,456,0.7845714028453088,0.0,0.21948735832798788,0.16851972816773658
PLIP,MHIST,0.25,462,42,0.8013956419953179,0.13881748071979436,0.1917201669515848,0.12193264507750319
PLIP,MHIST,0.25,462,123,0.7964973887988473,0.2691415313225058,0.18903047005551288,0.1254303523133602
PLIP,MHIST,0.25,462,456,0.7686745903115433,0.16377171215880892,0.19522942004589292,0.11878323536375623
PLIP,MHIST,0.5,924,42,0.8156582027732757,0.3628691983122363,0.18019429064232056,0.11675906982127582
PLIP,MHIST,0.5,924,123,0.8146092202413109,0.40239043824701193,0.17854014246705208,0.10151229897103768
PLIP,MHIST,0.5,924,456,0.7975598775436701,0.3368421052631579,0.1838956345063766,0.10861214691896835
PLIP,MHIST,1.0,1849,42,0.8291644156311905,0.48440366972477067,0.17074570556405003,0.09103798199492466
PLIP,MHIST,1.0,1849,123,0.8291644156311905,0.48440366972477067,0.17074570556405003,0.09103798199492476
PLIP,MHIST,1.0,1849,456,0.8291644156311905,0.48440366972477067,0.17074570556405003,0.09103798199492467
