fraction,n_samples,seed,auroc,f1,brier,ece,model,dataset
0.01,2621,42,0.9423734738539912,0.8633704472541989,0.10026756589534566,0.06633222610433966,PLIP,PCam
0.01,2621,123,0.9405505921206587,0.8538486106675184,0.10403439084984985,0.07496448078523245,PLIP,PCam
0.01,2621,456,0.9416895104303435,0.8560654480378371,0.10274345791472106,0.07383888502030761,PLIP,PCam
0.05,13107,42,0.9511248305630562,0.8708865598419929,0.09054145341246947,0.04885064044813589,PLIP,PCam
0.05,13107,123,0.9508681244870205,0.8680444130671973,0.09139708779063589,0.05129385656530016,PLIP,PCam
0.05,13107,456,0.948543714279838,0.8648787373283716,0.09330671838053797,0.048151641685149266,PLIP,PCam
0.1,26214,42,0.9521212155146135,0.8694870642614111,0.08952710361714997,0.044745926812334476,PLIP,PCam
0.1,26214,123,0.9527025657982592,0.870569366479551,0.088995559703611,0.04518521975710348,PLIP,PCam
0.1,26214,456,0.9519049213951124,0.8703501445550915,0.08984237385580365,0.044485952426744045,PLIP,PCam
0.25,65536,42,0.9531538848003013,0.8708575112830432,0.08863194198750458,0.04351208298242138,PLIP,PCam
0.25,65536,123,0.9531609777543244,0.8696748335380439,0.08924234492425535,0.046185540102673804,PLIP,PCam
0.25,65536,456,0.9531228158735408,0.8702728887453577,0.08930263374644667,0.04579897111296774,PLIP,PCam
0.5,131072,42,0.953053573890124,0.8679797191887676,0.09001123544937539,0.050809222963035444,PLIP,PCam
0.5,131072,123,0.9534081992395288,0.8680399622506427,0.09019189387549853,0.052756303252788,PLIP,PCam
0.5,131072,456,0.953014614797071,0.8662843737781832,0.09052659618025341,0.053294239284988,PLIP,PCam
1.0,262144,42,0.9523657175374037,0.8630612913798754,0.09182469139017359,0.057402093681827485,PLIP,PCam
1.0,262144,123,0.9523657175374037,0.8630612913798754,0.09182469138024293,0.05740209364598723,PLIP,PCam
1.0,262144,456,0.9523657175374037,0.8630612913798754,0.09182469146217223,0.05740209394349616,PLIP,PCam
