model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
PLIP,SPIDER-Breast,0.01,687,42,0.9510120181214357,0.510317411118396,0.3504504953259932,0.038734957722992
PLIP,SPIDER-Breast,0.01,687,123,0.950504712627614,0.4729943715488329,0.3064527624810152,0.03955684775820574
PLIP,SPIDER-Breast,0.01,687,456,0.9489587688132028,0.48755010421752953,0.2889244223007677,0.04030923793056403
PLIP,SPIDER-Breast,0.05,3436,42,0.9664870258824357,0.6485376428306464,0.2552027710289826,0.026598328866896462
PLIP,SPIDER-Breast,0.05,3436,123,0.9664919564523129,0.6577282269108145,0.26197630908645214,0.027081963293318842
PLIP,SPIDER-Breast,0.05,3436,456,0.9647647205586038,0.6566899309970186,0.263629349435749,0.0271962488218993
PLIP,SPIDER-Breast,0.1,6873,42,0.9711412541525617,0.6866798244299631,0.20504391501245955,0.023039016668462295
PLIP,SPIDER-Breast,0.1,6873,123,0.9715895829367732,0.6821111581361522,0.20269403491830668,0.023265461843932578
PLIP,SPIDER-Breast,0.1,6873,456,0.9700946119423524,0.6838570128585801,0.20972126919567488,0.02352154382237466
PLIP,SPIDER-Breast,0.25,17182,42,0.9759307832104902,0.7078715894813897,0.1402836774139368,0.019988075284285558
PLIP,SPIDER-Breast,0.25,17182,123,0.9758734039009069,0.7063880518767609,0.139222265184144,0.020135196012792025
PLIP,SPIDER-Breast,0.25,17182,456,0.9755894853053311,0.7078127043418062,0.14294241963981616,0.020218517050854867
PLIP,SPIDER-Breast,0.5,34365,42,0.9789541162690699,0.7215873767529076,0.10156567692639666,0.01832118241213126
PLIP,SPIDER-Breast,0.5,34365,123,0.9790652797451528,0.7233705520357934,0.10468197268488731,0.018321087732520364
PLIP,SPIDER-Breast,0.5,34365,456,0.9788554984805603,0.7250379611713187,0.10486532053496203,0.01824817964231827
PLIP,SPIDER-Breast,1.0,68730,42,0.9816574942335892,0.7375199746291697,0.0750710392033887,0.016827411587158267
PLIP,SPIDER-Breast,1.0,68730,123,0.9816591899138145,0.7375199746291697,0.07508852176869878,0.0168267826330247
PLIP,SPIDER-Breast,1.0,68730,456,0.9816583587884671,0.7375199746291697,0.0750813626472748,0.01682698839337544
