model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
UNI,BRACS,0.01,36,42,0.7682439032106412,0.1690930707835964,0.06369887862659161,0.11772621878472435
UNI,BRACS,0.01,36,123,0.7706766545282979,0.20357765127206137,0.12488393880073824,0.11482282201080099
UNI,BRACS,0.01,36,456,0.7736710903259512,0.19527731971301512,0.057265454542156154,0.1187057092163772
UNI,BRACS,0.05,182,42,0.8585801027223712,0.436097051437037,0.13015293092837746,0.09662596238919116
UNI,BRACS,0.05,182,123,0.8469738777368466,0.4050028398739448,0.10591881153720227,0.09928953676575851
UNI,BRACS,0.05,182,456,0.8656066946378437,0.523298665938179,0.22633035238055654,0.09358196399651601
UNI,BRACS,0.1,365,42,0.8761970454502229,0.48044178323863995,0.10033143341754211,0.0889066908842097
UNI,BRACS,0.1,365,123,0.8672641086944275,0.4862067070630127,0.11539049873469595,0.0893303044841399
UNI,BRACS,0.1,365,456,0.8745080939926991,0.542398752719028,0.1583108293426711,0.08651642282726403
UNI,BRACS,0.25,914,42,0.8838962888616256,0.5659085898385142,0.09824910982470664,0.0804649893328794
UNI,BRACS,0.25,914,123,0.8883959386720627,0.5548184488747324,0.08154601557992613,0.08122392032836083
UNI,BRACS,0.25,914,456,0.8876608070697954,0.5601922725561121,0.1001276794315475,0.07937976216170606
UNI,BRACS,0.5,1828,42,0.8901530190419251,0.5795206237285827,0.0665868016206049,0.07775333852413632
UNI,BRACS,0.5,1828,123,0.8953974066450565,0.5904597674171227,0.07224105288393703,0.07582153348525977
UNI,BRACS,0.5,1828,456,0.8971187090466558,0.5708731412973053,0.057708554507775435,0.07671600268799066
UNI,BRACS,1.0,3657,42,0.9012589709524763,0.5961587890370639,0.04888100911208154,0.07366302578412441
UNI,BRACS,1.0,3657,123,0.9012589709524763,0.5961587890370639,0.048881009112078405,0.07366302578412469
UNI,BRACS,1.0,3657,456,0.9012589709524763,0.5961587890370639,0.048881009111971505,0.07366302578412924
