model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
UNI,CRC,0.01,700,42,0.999470342921318,0.9863277575750659,0.22101630036967151,0.01067809397053958
UNI,CRC,0.01,700,123,0.9993702176498106,0.9852651612654751,0.22021407965677187,0.010778547414104632
UNI,CRC,0.01,700,456,0.9994993175890049,0.9865696213522234,0.22209862549142145,0.010782401668154636
UNI,CRC,0.05,3500,42,0.9996731051731574,0.9901786954617938,0.07532730284084042,0.003348430448590821
UNI,CRC,0.05,3500,123,0.9995167117508245,0.9900336598935561,0.07549717357678244,0.003357059884033548
UNI,CRC,0.05,3500,456,0.9995909022871428,0.9902980230928282,0.07388611543079389,0.0032073406031562866
UNI,CRC,0.1,7000,42,0.9997428790262158,0.9910742812153513,0.045056725295607856,0.0022541686428240843
UNI,CRC,0.1,7000,123,0.9996355514601059,0.9916742204068769,0.047010632908039765,0.002266648601477266
UNI,CRC,0.1,7000,456,0.9996365647035764,0.9916237101489185,0.045668384105603387,0.002259058531842071
UNI,CRC,0.25,17500,42,0.9998654033549665,0.992267723218452,0.024312268281168697,0.0015703163857367479
UNI,CRC,0.25,17500,123,0.9998071596042268,0.9934482431799564,0.025851565014934536,0.0015506822505319993
UNI,CRC,0.25,17500,456,0.9998051860726034,0.9929742525547786,0.024766994617743517,0.0015566854117025734
UNI,CRC,0.5,35000,42,0.9998990625145429,0.9940638843952709,0.015953377278275678,0.0011862650351048228
UNI,CRC,0.5,35000,123,0.9998825564831664,0.9943387599657529,0.015566966012483086,0.0011594235951019503
UNI,CRC,0.5,35000,456,0.9999004348467047,0.9939985902994892,0.015451697699371625,0.0011953860249682147
UNI,CRC,1.0,70000,42,0.9999219330690907,0.9948402491051611,0.010392303586162784,0.0009035719413083386
UNI,CRC,1.0,70000,123,0.9999219330690907,0.9948402491051611,0.010392303586174663,0.0009035719413087763
UNI,CRC,1.0,70000,456,0.9999219330690907,0.9948402491051611,0.010392303586169865,0.0009035719413085215
