model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
UNI,LungHist700,0.01,7,42,0.637925249247939,0.3372791907442771,0.17654817685363886,0.12028740682594782
UNI,LungHist700,0.01,7,123,0.6888287913426732,0.30580793253604316,0.15632476484197036,0.1201841757257491
UNI,LungHist700,0.01,7,456,0.6787714521827489,0.3770588303233008,0.28160112463625375,0.11962851682186562
UNI,LungHist700,0.05,24,42,0.7894907735567614,0.15461417772072458,0.09443000776157955,0.1202417981113986
UNI,LungHist700,0.05,24,123,0.8154704511795371,0.3248829376488951,0.16018303996207847,0.11355227626650079
UNI,LungHist700,0.05,24,456,0.7582245635025616,0.16143380429094714,0.1547129388333983,0.11685823215612376
UNI,LungHist700,0.1,48,42,0.8657420883457154,0.3552796876326288,0.1906793166462252,0.10926329239673412
UNI,LungHist700,0.1,48,123,0.8495202955325377,0.3100087268234194,0.17628032678341163,0.10870263489793626
UNI,LungHist700,0.1,48,456,0.8591908760343271,0.2927872667370698,0.13144304770595744,0.10826008920818532
UNI,LungHist700,0.25,120,42,0.926194356578262,0.5353893418409548,0.23315631343072776,0.09463723010667581
UNI,LungHist700,0.25,120,123,0.9472461681255305,0.5370566361361219,0.2667690214628601,0.09347003251079025
UNI,LungHist700,0.25,120,456,0.9130365736083402,0.5785220070934356,0.28143579279207714,0.09323914294992776
UNI,LungHist700,0.5,241,42,0.9445482005257746,0.6418734587852235,0.2797795249671617,0.07913788502462003
UNI,LungHist700,0.5,241,123,0.9567950053798601,0.6978382162055631,0.35632394866196654,0.07584290406994619
UNI,LungHist700,0.5,241,456,0.9480311885785225,0.6549558755146754,0.29332737235918926,0.07979524558477043
UNI,LungHist700,1.0,483,42,0.9634073153799294,0.7534841628959276,0.3125866344121603,0.061555705871621846
UNI,LungHist700,1.0,483,123,0.9634073153799294,0.7534841628959276,0.3125866344121607,0.06155570587162187
UNI,LungHist700,1.0,483,456,0.9634073153799294,0.7534841628959276,0.3125866344121606,0.061555705871621846
