model,dataset,fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement,auroc,brier_raw,brier_scaled
UNI,LungHist700,0.01,42,0.16377676273018965,0.17654817685363886,0.07994703398233176,0.0966011428713071,0.637925249247939,0.12028740682594782,0.11296753064974853
UNI,LungHist700,0.01,123,0.1826290870163675,0.15632476484197036,0.1200490008485455,0.03627576399342486,0.6888287913426732,0.1201841757257491,0.11453211304168313
UNI,LungHist700,0.01,456,0.14315812509158557,0.28160112463625375,0.1302008424877776,0.15140028214847615,0.6787714521827489,0.11962851682186562,0.10612661898890538
UNI,LungHist700,0.05,42,0.7172040052674599,0.09443000776157955,0.13543916853558066,-0.041009160774001116,0.7894907735567614,0.1202417981113986,0.12173576378478457
UNI,LungHist700,0.05,123,0.5689419318649813,0.16018303996207847,0.15253110150433746,0.007651938457741009,0.8154704511795371,0.11355227626650079,0.10978866110549745
UNI,LungHist700,0.05,456,1.4196201214074256,0.1547129388333983,0.11344014113851805,0.04127279769488024,0.7582245635025616,0.11685823215612376,0.11814838938603102
UNI,LungHist700,0.1,42,0.4917225858709624,0.1906793166462252,0.1520188222612053,0.038660494385019895,0.8657420883457154,0.10926329239673412,0.10576146731443319
UNI,LungHist700,0.1,123,0.46943585096601814,0.17628032678341163,0.14076097612899344,0.03551935065441819,0.8495202955325377,0.10870263489793626,0.10335657975735664
UNI,LungHist700,0.1,456,0.5894105317805505,0.13144304770595744,0.12824497286021055,0.0031980748457468844,0.8591908760343271,0.10826008920818532,0.1043059827932792
UNI,LungHist700,0.25,42,0.32255294538601537,0.23315631343072776,0.16309511339768676,0.070061200033041,0.926194356578262,0.09463723010667581,0.08687463573247091
UNI,LungHist700,0.25,123,0.27051924811430567,0.2667690214628601,0.17567996610187014,0.09108905536098993,0.9472461681255305,0.09347003251079025,0.08009378955731887
UNI,LungHist700,0.25,456,0.3358640849645325,0.28143579279207714,0.12755862740278862,0.15387716538928853,0.9130365736083402,0.09323914294992776,0.08029056836374478
UNI,LungHist700,0.5,42,0.3513856443419387,0.2797795249671617,0.13166543186492477,0.14811409310223692,0.9445482005257746,0.07913788502462003,0.0643357275984899
UNI,LungHist700,0.5,123,0.317503675189357,0.35632394866196654,0.06930477384906407,0.28701917481290246,0.9567950053798601,0.07584290406994619,0.05080612389155807
UNI,LungHist700,0.5,456,0.33966559676052416,0.29332737235918926,0.12085188487395146,0.1724754874852378,0.9480311885785225,0.07979524558477043,0.06447724351615698
UNI,LungHist700,1.0,42,0.4224742224398148,0.3125866344121603,0.12177732643864009,0.1908093079735202,0.9634073153799294,0.061555705871621846,0.04454267777792923
UNI,LungHist700,1.0,123,0.4224742224392632,0.3125866344121607,0.12177732643874287,0.19080930797341786,0.9634073153799294,0.06155570587162187,0.04454267777792472
UNI,LungHist700,1.0,456,0.4224742224389803,0.3125866344121606,0.12177732643879541,0.1908093079733652,0.9634073153799294,0.061555705871621846,0.04454267777792239
