model,dataset,fraction,n_samples,seed,auroc,f1,brier,ece
UNI,PCam,0.01,2621,42,0.9810347336184305,0.9335035913806864,0.054441105606598164,0.06901970627461246
UNI,PCam,0.01,2621,123,0.9805967660592555,0.9281491002570694,0.058178023747916,0.07714277339324817
UNI,PCam,0.01,2621,456,0.9826710267025245,0.9312894037827631,0.05550234497923208,0.07580073682392444
UNI,PCam,0.05,13107,42,0.9825253417482291,0.9356086025628735,0.0486306402808135,0.038867075730261755
UNI,PCam,0.05,13107,123,0.982907336810453,0.9327601693827794,0.05039514232503316,0.04411834711689997
UNI,PCam,0.05,13107,456,0.9846834661420057,0.9379679485137159,0.04713456005367298,0.0425265785811281
UNI,PCam,0.1,26214,42,0.9810574616186903,0.935339594914063,0.04899468435542324,0.03771087151847946
UNI,PCam,0.1,26214,123,0.983595353350685,0.9371370221456379,0.04766252952480156,0.037338592248006654
UNI,PCam,0.1,26214,456,0.9844900266826572,0.9385881002487086,0.04644735033637876,0.03642315750199754
UNI,PCam,0.25,65536,42,0.9799872339493576,0.9345028490940521,0.05037146900251933,0.04170796308571778
UNI,PCam,0.25,65536,123,0.9832272312720655,0.9384590843834743,0.046992004120319474,0.037264137389744684
UNI,PCam,0.25,65536,456,0.9823856321606635,0.9373204825429247,0.048420972055985494,0.039891925058807794
UNI,PCam,0.5,131072,42,0.9810645173198035,0.9353663214422708,0.04949972762212629,0.04103471263581857
UNI,PCam,0.5,131072,123,0.9812012913780782,0.9340761374187558,0.05002739458246975,0.04250175911691159
UNI,PCam,0.5,131072,456,0.9807842711300749,0.9337432350209754,0.05062990623009539,0.0443904992122203
UNI,PCam,1.0,262144,42,0.9786119794547073,0.9319660310847621,0.052514197392913776,0.0450672648394814
UNI,PCam,1.0,262144,123,0.9786119794547075,0.9319660310847621,0.052514197392913915,0.04506726483948156
UNI,PCam,1.0,262144,456,0.9786119794547073,0.9319660310847621,0.052514197392912944,0.04506726483947917
