model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
UNI,SPIDER-Breast,0.01,687,42,0.9886275563512386,0.7817185916700429,0.4250209811736357,0.025309055167499532
UNI,SPIDER-Breast,0.01,687,123,0.9854764029060699,0.7560543723788001,0.41611616232276616,0.027338958955957022
UNI,SPIDER-Breast,0.01,687,456,0.9853659845107708,0.755535606542505,0.4333468227728084,0.028605114793376057
UNI,SPIDER-Breast,0.05,3436,42,0.9928502503785008,0.8359100046695623,0.20854605465439507,0.013735021955233339
UNI,SPIDER-Breast,0.05,3436,123,0.9929132428018735,0.8318876759512863,0.21676500335322782,0.014179070748524251
UNI,SPIDER-Breast,0.05,3436,456,0.9922111289061546,0.8329914332007456,0.21724665809879695,0.01425332254643611
UNI,SPIDER-Breast,0.1,6873,42,0.993804875424423,0.8515063139396327,0.14678926123303793,0.011291952316192006
UNI,SPIDER-Breast,0.1,6873,123,0.9937773009374674,0.8451416765926136,0.14565485575143733,0.011605190039726593
UNI,SPIDER-Breast,0.1,6873,456,0.9934097218951088,0.8506130952573369,0.15135582262144393,0.011588634261145604
UNI,SPIDER-Breast,0.25,17182,42,0.9948227560664031,0.8684904467559044,0.08951486458450615,0.009246541173420329
UNI,SPIDER-Breast,0.25,17182,123,0.9943331010112332,0.8626889148004823,0.08452974063047856,0.009559474956928129
UNI,SPIDER-Breast,0.25,17182,456,0.9945092419214231,0.8644561628883276,0.09237008635151059,0.009619584306931129
UNI,SPIDER-Breast,0.5,34365,42,0.9951004743978878,0.8717076945276251,0.056327775990565626,0.00850930066222232
UNI,SPIDER-Breast,0.5,34365,123,0.9948669671950415,0.8715531458309949,0.05492989126777201,0.008592762051344797
UNI,SPIDER-Breast,0.5,34365,456,0.9948931950338825,0.8716620838845163,0.056035576356047855,0.00859474171759932
UNI,SPIDER-Breast,1.0,68730,42,0.9951334781789676,0.87549908067133,0.031406871917304624,0.008080851208154945
UNI,SPIDER-Breast,1.0,68730,123,0.9951334781789676,0.87549908067133,0.031406872100138386,0.008080851211710193
UNI,SPIDER-Breast,1.0,68730,456,0.9951334781789676,0.87549908067133,0.031406872072209505,0.008080851211167667
