model,dataset,fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement,auroc,brier_raw,brier_scaled
UNI,SPIDER-Breast,0.01,42,0.31701631144443,0.4250209811736357,0.018834765467582153,0.4061862157060535,0.9886275563512386,0.025309055167499532,0.013229364765532096
UNI,SPIDER-Breast,0.01,123,0.3229973692169912,0.41611616232276616,0.03730637827479187,0.3788097840479743,0.9854764029060699,0.027338958955957022,0.01608893526089596
UNI,SPIDER-Breast,0.01,456,0.30699569867158844,0.4333468227728084,0.02208144918826853,0.41126537358453985,0.9853659845107708,0.028605114793376057,0.015905084830782713
UNI,SPIDER-Breast,0.05,42,0.43395248990112545,0.20854605465439507,0.021556192178242832,0.18698986247615224,0.9928502503785008,0.013735021955233339,0.010249060933913057
UNI,SPIDER-Breast,0.05,123,0.43498127708881984,0.21676500335322782,0.02297990535092664,0.19378509800230118,0.9929132428018735,0.014179070748524251,0.01045209904194151
UNI,SPIDER-Breast,0.05,456,0.43112476786761184,0.21724665809879695,0.020505790283602398,0.19674086781519456,0.9922111289061546,0.01425332254643611,0.010543117801519522
UNI,SPIDER-Breast,0.1,42,0.47868043948502753,0.14678926123303793,0.023856451432555867,0.12293280980048206,0.993804875424423,0.011291952316192006,0.009446270402946612
UNI,SPIDER-Breast,0.1,123,0.48297270143211063,0.14565485575143733,0.025473201008306575,0.12018165474313075,0.9937773009374674,0.011605190039726593,0.00975223261488599
UNI,SPIDER-Breast,0.1,456,0.4877367164876672,0.15135582262144393,0.021068896149238146,0.13028692647220577,0.9934097218951088,0.011588634261145604,0.009588381506229031
UNI,SPIDER-Breast,0.25,42,0.5351117287010143,0.08951486458450615,0.025217197889817064,0.06429766669468909,0.9948227560664031,0.009246541173420329,0.00849465976970904
UNI,SPIDER-Breast,0.25,123,0.5468040046944314,0.08452974063047856,0.02740528834231648,0.057124452288162084,0.9943331010112332,0.009559474956928129,0.00892076725444986
UNI,SPIDER-Breast,0.25,456,0.5423630023059616,0.09237008635151059,0.024307828062036147,0.06806225828947444,0.9945092419214231,0.009619584306931129,0.008801299018374916
UNI,SPIDER-Breast,0.5,42,0.5821553025358263,0.056327775990565626,0.027879210215450645,0.02844856577511498,0.9951004743978878,0.00850930066222232,0.00826305981265785
UNI,SPIDER-Breast,0.5,123,0.5849995680364218,0.05492989126777201,0.029049141179878533,0.025880750087893475,0.9948669671950415,0.008592762051344797,0.008359654541207436
UNI,SPIDER-Breast,0.5,456,0.5877325662083764,0.056035576356047855,0.027601316141398553,0.0284342602146493,0.9948931950338825,0.00859474171759932,0.00834866232337541
UNI,SPIDER-Breast,1.0,42,0.6252383258654037,0.031406871917304624,0.03159350032718592,-0.00018662840988129675,0.9951334781789676,0.008080851208154945,0.008119659413442754
UNI,SPIDER-Breast,1.0,123,0.6252383248475799,0.031406872100138386,0.03159350035416143,-0.00018662825402304684,0.9951334781789676,0.008080851211710193,0.00811965941574806
UNI,SPIDER-Breast,1.0,456,0.6252383250032592,0.031406872072209505,0.03159350035001482,-0.00018662827780531466,0.9951334781789676,0.008080851211167667,0.008119659415396399
