model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
VIRCHOW2,BRACS,0.01,36,42,0.7631917182499429,0.18419882059885112,0.07163344861996374,0.11590522855452232
VIRCHOW2,BRACS,0.01,36,123,0.8208959383907193,0.26652539523270324,0.155800885316976,0.11036255047822727
VIRCHOW2,BRACS,0.01,36,456,0.7801484278993465,0.231647227307581,0.034988652409962524,0.11639685778582523
VIRCHOW2,BRACS,0.05,182,42,0.8700350684390666,0.4794618050335952,0.14926982889867407,0.09157898662307815
VIRCHOW2,BRACS,0.05,182,123,0.8712765648273088,0.4056824426944122,0.09352472025022683,0.09289894369829602
VIRCHOW2,BRACS,0.05,182,456,0.8532913149771375,0.4688056398457041,0.12510531276294828,0.09159016949905449
VIRCHOW2,BRACS,0.1,365,42,0.8843134627178946,0.5153496430783279,0.1012317868265555,0.08329321087353223
VIRCHOW2,BRACS,0.1,365,123,0.8781363422338098,0.48252215734157794,0.08780942780320045,0.08499880647906514
VIRCHOW2,BRACS,0.1,365,456,0.8751642328002046,0.5277412122708083,0.11221017945365505,0.0829673499724755
VIRCHOW2,BRACS,0.25,914,42,0.8923409584446943,0.5607477158526485,0.0825751775155933,0.07667170493930228
VIRCHOW2,BRACS,0.25,914,123,0.8972701668141373,0.5561035752760097,0.08395035511994724,0.0777731285349129
VIRCHOW2,BRACS,0.25,914,456,0.8939200368165393,0.5541696341587671,0.07943283835015438,0.0768868501551837
VIRCHOW2,BRACS,0.5,1828,42,0.8988708825002408,0.5762824130890998,0.05027555472270181,0.07452570325771504
VIRCHOW2,BRACS,0.5,1828,123,0.8983012261595588,0.5890906258587763,0.04678410572811317,0.07386595942295118
VIRCHOW2,BRACS,0.5,1828,456,0.900142316222226,0.584024564469186,0.05030392047997343,0.0744360949148788
VIRCHOW2,BRACS,1.0,3657,42,0.9038447387617934,0.5959433733841857,0.04485903525242275,0.07218951770673387
VIRCHOW2,BRACS,1.0,3657,123,0.9038447387617934,0.5959433733841857,0.04485903519397649,0.0721895177072605
VIRCHOW2,BRACS,1.0,3657,456,0.9038447387617934,0.5959433733841857,0.04485903514818879,0.07218951770768098
