model,dataset,fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement,auroc,brier_raw,brier_scaled
VIRCHOW2,BRACS,0.01,42,1.0586452915279272,0.07163344861996374,0.06760058252089429,0.004032866099069443,0.7631917182499429,0.11590522855452232,0.1159331559036075
VIRCHOW2,BRACS,0.01,123,0.8626766272573528,0.155800885316976,0.14712310765967446,0.008677777657301544,0.8208959383907193,0.11036255047822727,0.1093213465299624
VIRCHOW2,BRACS,0.01,456,1.1589494015129116,0.034988652409962524,0.05471984300256505,-0.019731190592602525,0.7801484278993465,0.11639685778582523,0.1165914182949663
VIRCHOW2,BRACS,0.05,42,0.5692574493343032,0.14926982889867407,0.057637903344243055,0.09163192555443102,0.8700350684390666,0.09157898662307815,0.08692779311248099
VIRCHOW2,BRACS,0.05,123,0.7269620760342569,0.09352472025022683,0.05302522425862431,0.04049949599160252,0.8712765648273088,0.09289894369829602,0.09086549183356407
VIRCHOW2,BRACS,0.05,456,0.6667702003439827,0.12510531276294828,0.04775305884844817,0.07735225391450012,0.8532913149771375,0.09159016949905449,0.08823775153337036
VIRCHOW2,BRACS,0.1,42,0.7402010034746648,0.1012317868265555,0.06611364671008177,0.035118140116473726,0.8843134627178946,0.08329321087353223,0.08154299569296473
VIRCHOW2,BRACS,0.1,123,0.7374889605897259,0.08780942780320045,0.039767965358154966,0.04804146244504548,0.8781363422338098,0.08499880647906514,0.08348841327725766
VIRCHOW2,BRACS,0.1,456,0.7410011974155009,0.11221017945365505,0.06514835394436466,0.04706182550929039,0.8751642328002046,0.0829673499724755,0.08055454821402988
VIRCHOW2,BRACS,0.25,42,0.7526214557891308,0.0825751775155933,0.06778319577010898,0.014791981745484323,0.8923409584446943,0.07667170493930228,0.07577182498624964
VIRCHOW2,BRACS,0.25,123,0.8019762903981021,0.08395035511994724,0.0481425918458581,0.03580776327408914,0.8972701668141373,0.0777731285349129,0.07728310079848422
VIRCHOW2,BRACS,0.25,456,0.7818652913356801,0.07943283835015438,0.057066428811219955,0.02236640953893443,0.8939200368165393,0.0768868501551837,0.07671944929657558
VIRCHOW2,BRACS,0.5,42,0.8245624780325388,0.05027555472270181,0.05407773879580895,-0.0038021840731071385,0.8988708825002408,0.07452570325771504,0.07468644343097086
VIRCHOW2,BRACS,0.5,123,0.7888996862951204,0.04678410572811317,0.07029786273109992,-0.023513757002986746,0.8983012261595588,0.07386595942295118,0.07428379296874106
VIRCHOW2,BRACS,0.5,456,0.8162912126756794,0.05030392047997343,0.06219488119195923,-0.011890960711985796,0.900142316222226,0.0744360949148788,0.07483691343731098
VIRCHOW2,BRACS,1.0,42,0.8839694045557008,0.04485903525242275,0.04962656197306858,-0.004767526720645829,0.9038447387617934,0.07218951770673387,0.0725963534389746
VIRCHOW2,BRACS,1.0,123,0.8839694044593495,0.04485903519397649,0.04962656193984336,-0.004767526745866869,0.9038447387617934,0.0721895177072605,0.07259635343742742
VIRCHOW2,BRACS,1.0,456,0.8839694043870121,0.04485903514818879,0.04962656191345515,-0.004767526765266358,0.9038447387617934,0.07218951770768098,0.0725963534362044
