model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
VIRCHOW2,CRC,0.01,700,42,0.9990189060719177,0.980969236033358,0.1852595201796244,0.009041692660337277
VIRCHOW2,CRC,0.01,700,123,0.999065943299744,0.9804267102045182,0.1850289711792472,0.00913797195803364
VIRCHOW2,CRC,0.01,700,456,0.9990222072595627,0.9787144501472904,0.1825413993207223,0.009346413075630387
VIRCHOW2,CRC,0.05,3500,42,0.9993865480929457,0.9874973369250414,0.06199028447764757,0.0033447708152258898
VIRCHOW2,CRC,0.05,3500,123,0.9994419969628745,0.9882423490334662,0.06347219342501462,0.003279159548304538
VIRCHOW2,CRC,0.05,3500,456,0.9995062649053055,0.988602360899131,0.06244563816891067,0.003201897630473987
VIRCHOW2,CRC,0.1,7000,42,0.9996362373383604,0.9893628619217919,0.03871579819019418,0.0024276293039295358
VIRCHOW2,CRC,0.1,7000,123,0.9995822029407476,0.9899262119111183,0.03994168204277415,0.0023725639014347943
VIRCHOW2,CRC,0.1,7000,456,0.9995818161032377,0.9898448021640118,0.0390399337488592,0.0023968238671863134
VIRCHOW2,CRC,0.25,17500,42,0.9998067903216824,0.9916274679152386,0.021604751631915168,0.0016894972608248657
VIRCHOW2,CRC,0.25,17500,123,0.9997590560755639,0.9918611979654813,0.02184639647946901,0.0017051301190482127
VIRCHOW2,CRC,0.25,17500,456,0.9997446428137009,0.9916652869960068,0.02050322712974425,0.0017110085286899538
VIRCHOW2,CRC,0.5,35000,42,0.9998740343503284,0.9929827607192558,0.014443342683526006,0.0013295070178368522
VIRCHOW2,CRC,0.5,35000,123,0.9998418369185588,0.992972473494773,0.013927551680223518,0.0013322095345896887
VIRCHOW2,CRC,0.5,35000,456,0.9998594076069023,0.9931938682093518,0.013981925561998784,0.0013356543640296388
VIRCHOW2,CRC,1.0,70000,42,0.9999149146886968,0.9946173774385828,0.009312987086462358,0.0010346853362888046
VIRCHOW2,CRC,1.0,70000,123,0.9999149146886968,0.9946173774385828,0.009312987086464788,0.001034685336296913
VIRCHOW2,CRC,1.0,70000,456,0.9999149146886968,0.9946173774385828,0.009312987086475278,0.0010346853363187103
