model,dataset,fraction,n_samples,seed,auroc,f1,ece,brier
VIRCHOW2,LungHist700,0.01,7,42,0.8047706141477736,0.4184132014644971,0.30797790000334463,0.11785484032361244
VIRCHOW2,LungHist700,0.01,7,123,0.7529971758409236,0.44579630351124305,0.30518469945024346,0.11788575006853888
VIRCHOW2,LungHist700,0.01,7,456,0.7457706924118316,0.370679725191766,0.26807669954016317,0.11836560500212177
VIRCHOW2,LungHist700,0.05,24,42,0.8506822443293804,0.21096633862591307,0.16251828089599335,0.1137938104061053
VIRCHOW2,LungHist700,0.05,24,123,0.8804991262134096,0.2842809364548495,0.25662266202638484,0.10794350418945364
VIRCHOW2,LungHist700,0.05,24,456,0.8010993088226338,0.17869443988846972,0.1769084601406248,0.11127322916159163
VIRCHOW2,LungHist700,0.1,48,42,0.9198627261266815,0.4221135052025838,0.18640626767600818,0.10098372022326192
VIRCHOW2,LungHist700,0.1,48,123,0.9103496258890732,0.3416516692651022,0.15344576359491802,0.10181975132343303
VIRCHOW2,LungHist700,0.1,48,456,0.9089874600100735,0.32990624093440435,0.13585933426716496,0.10059118991451899
VIRCHOW2,LungHist700,0.25,120,42,0.9547013221614147,0.6176569051774958,0.28244845900590876,0.08450586396232472
VIRCHOW2,LungHist700,0.25,120,123,0.9523454707657243,0.6231614988031646,0.2972167039690505,0.08510866886126374
VIRCHOW2,LungHist700,0.25,120,456,0.951583008185067,0.5945152417714167,0.2629709095378247,0.08329367525591966
VIRCHOW2,LungHist700,0.5,241,42,0.959500998495888,0.7001039430307723,0.2847326793544428,0.0702804448026534
VIRCHOW2,LungHist700,0.5,241,123,0.9665529473684149,0.6987649457037212,0.3124278523984263,0.0687371830348338
VIRCHOW2,LungHist700,0.5,241,456,0.963644259578045,0.6770641871970776,0.27984440564240487,0.07023569148990601
VIRCHOW2,LungHist700,1.0,483,42,0.9724456901692358,0.7597851791665485,0.26367985815627853,0.05455483099359833
VIRCHOW2,LungHist700,1.0,483,123,0.9724456901692358,0.7597851791665485,0.26367985815627804,0.05455483099359831
VIRCHOW2,LungHist700,1.0,483,456,0.9724456901692358,0.7597851791665485,0.26367985815627826,0.05455483099359835
