model,dataset,fraction,seed,temperature,ece_raw,ece_scaled,ece_improvement,auroc,brier_raw,brier_scaled
VIRCHOW2,LungHist700,0.01,42,0.1000052749944835,0.30797790000334463,0.1378002125621019,0.17017768744124273,0.8047706141477736,0.11785484032361244,0.09380268543933967
VIRCHOW2,LungHist700,0.01,123,0.1781908564510454,0.30518469945024346,0.15184356904415908,0.15334113040608438,0.7529971758409236,0.11788575006853888,0.10234720322049906
VIRCHOW2,LungHist700,0.01,456,0.13403849656794373,0.26807669954016317,0.07532737775713852,0.19274932178302465,0.7457706924118316,0.11836560500212177,0.09978632823092914
VIRCHOW2,LungHist700,0.05,42,0.576560443172893,0.16251828089599335,0.1344968447259696,0.028021436170023756,0.8506822443293804,0.1137938104061053,0.11322459557607932
VIRCHOW2,LungHist700,0.05,123,0.48869589290941184,0.25662266202638484,0.16709516931795562,0.08952749270842922,0.8804991262134096,0.10794350418945364,0.10156721283464956
VIRCHOW2,LungHist700,0.05,456,1.0290762518033054,0.1769084601406248,0.171507343910823,0.0054011162298018,0.8010993088226338,0.11127322916159163,0.11148479491654768
VIRCHOW2,LungHist700,0.1,42,0.43560736210347956,0.18640626767600818,0.06577718220371805,0.12062908547229013,0.9198627261266815,0.10098372022326192,0.09577822527193229
VIRCHOW2,LungHist700,0.1,123,0.40622865238327077,0.15344576359491802,0.128734544933028,0.024711218661890022,0.9103496258890732,0.10181975132343303,0.09537816064548091
VIRCHOW2,LungHist700,0.1,456,0.5330324031122575,0.13585933426716496,0.09145425228125031,0.04440508198591464,0.9089874600100735,0.10059118991451899,0.09601271557884093
VIRCHOW2,LungHist700,0.25,42,0.25102524911065605,0.28244845900590876,0.15956242871263482,0.12288603029327394,0.9547013221614147,0.08450586396232472,0.07081163901747842
VIRCHOW2,LungHist700,0.25,123,0.3111065907501948,0.2972167039690505,0.11066551396642486,0.1865511900026256,0.9523454707657243,0.08510866886126374,0.06863720389491891
VIRCHOW2,LungHist700,0.25,456,0.3261996522738152,0.2629709095378247,0.0962340574272164,0.1667368521106083,0.951583008185067,0.08329367525591966,0.06891449456857127
VIRCHOW2,LungHist700,0.5,42,0.3367537411991101,0.2847326793544428,0.08932703229877095,0.19540564705567184,0.959500998495888,0.0702804448026534,0.055172737421916924
VIRCHOW2,LungHist700,0.5,123,0.3348949743282863,0.3124278523984263,0.10473134119846278,0.20769651119996352,0.9665529473684149,0.0687371830348338,0.046480847849875
VIRCHOW2,LungHist700,0.5,456,0.3675314603959407,0.27984440564240487,0.06683802917645876,0.2130063764659461,0.963644259578045,0.07023569148990601,0.053990248225402736
VIRCHOW2,LungHist700,1.0,42,0.4578771674114742,0.26367985815627853,0.10185645698954156,0.161823401166737,0.9724456901692358,0.05455483099359833,0.0394978344202201
VIRCHOW2,LungHist700,1.0,123,0.45787716741165857,0.26367985815627804,0.10185645698959246,0.1618234011666856,0.9724456901692358,0.05455483099359831,0.039497834420221936
VIRCHOW2,LungHist700,1.0,456,0.4578771674115726,0.26367985815627826,0.1018564569895688,0.16182340116670946,0.9724456901692358,0.05455483099359835,0.03949783442022119
