model,dataset,fraction,n_samples,seed,auroc,f1,brier,ece
VIRCHOW2,MHIST,0.01,18,42,0.7438726814334594,0.0,0.2460133600723345,0.1643373475774872
VIRCHOW2,MHIST,0.01,18,123,0.5733387358184765,0.0,0.2370376869408814,0.08698265810280938
VIRCHOW2,MHIST,0.01,18,456,0.7102332072753467,0.0,0.2619779120198123,0.1995563492499841
VIRCHOW2,MHIST,0.05,92,42,0.8430623086619846,0.0,0.2042076707260871,0.1675926952188957
VIRCHOW2,MHIST,0.05,92,123,0.8727264541689177,0.0,0.2130312947854209,0.22348021991661665
VIRCHOW2,MHIST,0.05,92,456,0.8176796326310103,0.0,0.20812438863222918,0.16189898315917411
VIRCHOW2,MHIST,0.1,184,42,0.8836034575904915,0.10026385224274406,0.18346600636137161,0.19068969090203555
VIRCHOW2,MHIST,0.1,184,123,0.8685035116153431,0.0273972602739726,0.18834239602189307,0.18630159956602324
VIRCHOW2,MHIST,0.1,184,456,0.8424905456509996,0.0,0.19944840166217573,0.17178725801454559
VIRCHOW2,MHIST,0.25,462,42,0.8968260399783902,0.5,0.160369422080569,0.16783736188138104
VIRCHOW2,MHIST,0.25,462,123,0.8818836664865839,0.5964285714285714,0.15883530393312087,0.13386832357246392
VIRCHOW2,MHIST,0.25,462,456,0.863789843327931,0.43711340206185567,0.17025423144055138,0.14228764042405168
VIRCHOW2,MHIST,0.5,924,42,0.9077795786061589,0.6913183279742765,0.14390297784579115,0.14781526686892113
VIRCHOW2,MHIST,0.5,924,123,0.9079281469475958,0.7152103559870551,0.14248448756999496,0.13193896774194702
VIRCHOW2,MHIST,0.5,924,456,0.9011885467314965,0.6611842105263158,0.1468590390798546,0.14204780717066953
VIRCHOW2,MHIST,1.0,1849,42,0.9157977669728075,0.757396449704142,0.1301075659396204,0.1131381783009923
VIRCHOW2,MHIST,1.0,1849,123,0.9157977669728075,0.757396449704142,0.13010756593961992,0.1131381783009905
VIRCHOW2,MHIST,1.0,1849,456,0.9157977669728075,0.757396449704142,0.1301075659396197,0.11313817830098989
