model,dataset,fraction,n_samples,seed,auroc,f1,brier,ece
VIRCHOW2,PCam,0.01,2621,42,0.9779286418799439,0.9234698826344208,0.05802772401093369,0.05918745518146426
VIRCHOW2,PCam,0.01,2621,123,0.9794832542340436,0.9242370532693114,0.05685064614072944,0.06424958581280145
VIRCHOW2,PCam,0.01,2621,456,0.9802300297888796,0.9247665056360709,0.057029454541162886,0.06527875563300513
VIRCHOW2,PCam,0.05,13107,42,0.9816065695089171,0.9290081740361718,0.05114866837779764,0.03914345223660522
VIRCHOW2,PCam,0.05,13107,123,0.983303800902837,0.9316790099708249,0.04889050210350756,0.03855931440437425
VIRCHOW2,PCam,0.05,13107,456,0.9840014584961216,0.9318036149211639,0.04853844866500563,0.03982146770376649
VIRCHOW2,PCam,0.1,26214,42,0.9823000436004331,0.9317431310313873,0.049321415304279914,0.03267195546377993
VIRCHOW2,PCam,0.1,26214,123,0.9849982718561416,0.9349354467595552,0.04609886823604553,0.033338462880372635
VIRCHOW2,PCam,0.1,26214,456,0.9853825579723169,0.9351147478105223,0.04594194133157321,0.034017847305391674
VIRCHOW2,PCam,0.25,65536,42,0.985019837565616,0.9347109817344295,0.04678630037362684,0.03054368143006311
VIRCHOW2,PCam,0.25,65536,123,0.9859104205280937,0.9364213481353878,0.04503131292532875,0.02939843013560982
VIRCHOW2,PCam,0.25,65536,456,0.9859206613529935,0.936440542697526,0.04518783581191835,0.029478213090790444
VIRCHOW2,PCam,0.5,131072,42,0.9857740562518268,0.9352674292287048,0.04625190572907677,0.03219009443411156
VIRCHOW2,PCam,0.5,131072,123,0.9864569505169637,0.936008434235328,0.04512324485280299,0.031260710215931777
VIRCHOW2,PCam,0.5,131072,456,0.9860922296290072,0.9356261586652177,0.045473736139138354,0.031534636452012405
VIRCHOW2,PCam,1.0,262144,42,0.9857326123896911,0.9346296533196878,0.0466627797440745,0.033963787556403745
VIRCHOW2,PCam,1.0,262144,123,0.9857326123896911,0.9346296533196878,0.04666277974407376,0.03396378755640847
VIRCHOW2,PCam,1.0,262144,456,0.9857326123896912,0.9346296533196878,0.04666277974407123,0.03396378755642426
